sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13
le visiteur apprend une nouvelle histoire et descend les escaliers de la maison,-10.805205345153809,-10.200428009033203,-10.543807029724121,-10.83449935913086,-8.66673755645752,-8.271712303161621
les visiteurs apprennent une nouvelle histoire et descend les escaliers de la maison,-10.478450775146484,-11.352622985839844,-10.239519119262695,-10.24677562713623,-8.135489463806152,-8.570634841918945
les visiteurs apprennent une nouvelle histoire et descendent les escaliers de la maison,-13.456892967224121,-12.757633209228516,-13.859928131103516,-10.75033187866211,-9.820290565490723,-10.46023941040039
le visiteur apprend une nouvelle histoire et descendent les escaliers de la maison,-14.379562377929688,-12.64919376373291,-13.149083137512207,-18.25075674057007,-17.14690589904785,-15.927437782287598
le visiteur apprend une nouvelle histoire et attend le repas chaud,-9.04011058807373,-12.47253704071045,-10.628622055053711,-9.953705787658691,-8.18717098236084,-8.441426277160645
les visiteurs apprennent une nouvelle histoire et attend le repas chaud,-9.660181045532227,-11.859574317932129,-9.990381240844727,-11.72128677368164,-10.559028625488281,-10.367077827453613
les visiteurs apprennent une nouvelle histoire et attendent le repas chaud,-13.324743270874023,-16.572160243988037,-14.943619728088379,-12.322781562805176,-11.080421447753906,-11.118958473205566
le visiteur apprend une nouvelle histoire et attendent le repas chaud,-15.849109649658203,-18.814088344573975,-14.590126514434814,-18.288615226745605,-15.315779209136963,-15.602845191955566
le visiteur apprend une nouvelle histoire et arrive au lieu de rendez-vous,-9.540384292602539,-11.216437339782715,-9.54004955291748,-8.321043014526367,-7.523322105407715,-7.809408187866211
les visiteurs apprennent une nouvelle histoire et arrive au lieu de rendez-vous,-10.071547508239746,-11.821653366088867,-10.22462272644043,-12.3925199508667,-11.513937950134277,-11.302172660827637
les visiteurs apprennent une nouvelle histoire et arrivent au lieu de rendez-vous,-11.339664459228516,-12.374054908752441,-10.200108528137207,-11.696859359741211,-10.61743450164795,-9.745975494384766
le visiteur apprend une nouvelle histoire et arrivent au lieu de rendez-vous,-12.182883262634277,-13.225214004516602,-11.738275527954102,-12.890281677246094,-11.508883476257324,-11.03754711151123
le visiteur apprend une nouvelle histoire et met la nappe sur la table,-11.358830451965332,-11.922445297241211,-11.297651290893555,-6.789851188659668,-6.303054332733154,-5.731099605560303
les visiteurs apprennent une nouvelle histoire et met la nappe sur la table,-12.85616683959961,-12.409500122070312,-11.644861221313477,-9.857308387756348,-9.51915168762207,-9.91714096069336
les visiteurs apprennent une nouvelle histoire et mettent la nappe sur la table,-11.968862533569336,-12.864654541015625,-12.523721694946289,-9.87447738647461,-9.65838623046875,-9.755817413330078
le visiteur apprend une nouvelle histoire et mettent la nappe sur la table,-12.160832405090332,-13.737024307250977,-15.122325897216797,-10.845290184020996,-10.661199569702148,-10.813957214355469
le visiteur descend les escaliers de la maison et attend le repas chaud,-9.132752418518066,-11.226397514343262,-8.727060317993164,-9.986798286437988,-8.727975845336914,-8.758172035217285
les visiteurs descendent les escaliers de la maison et attend le repas chaud,-8.580266952514648,-10.664052963256836,-8.13437271118164,-9.07680892944336,-9.486016273498535,-8.69293212890625
les visiteurs descendent les escaliers de la maison et attendent le repas chaud,-11.224812507629395,-14.154646396636963,-8.929499626159668,-9.116935729980469,-9.507782936096191,-9.189579963684082
le visiteur descend les escaliers de la maison et attendent le repas chaud,-13.650204181671143,-17.468570709228516,-10.425139427185059,-16.103408813476562,-14.691009044647217,-15.843755722045898
le visiteur descend les escaliers de la maison et arrive au lieu de rendez-vous,-10.861130714416504,-11.792847633361816,-10.456920623779297,-8.341852188110352,-6.6369805335998535,-6.075250148773193
les visiteurs descendent les escaliers de la maison et arrive au lieu de rendez-vous,-10.547590255737305,-11.969011306762695,-9.724562644958496,-8.791450500488281,-9.162745475769043,-8.037654876708984
les visiteurs descendent les escaliers de la maison et arrivent au lieu de rendez-vous,-10.597902297973633,-12.41575813293457,-7.64123010635376,-7.706118583679199,-6.060784816741943,-7.253605365753174
le visiteur descend les escaliers de la maison et arrivent au lieu de rendez-vous,-12.1185884475708,-13.250880241394043,-9.265448570251465,-11.4359712600708,-8.830608367919922,-9.402050018310547
le visiteur descend les escaliers de la maison et met la nappe sur la table,-11.063998222351074,-12.308558464050293,-10.504077911376953,-7.431059837341309,-6.851746559143066,-5.850790977478027
les visiteurs descendent les escaliers de la maison et met la nappe sur la table,-10.939614295959473,-11.81177043914795,-9.843437194824219,-8.880369186401367,-9.414369583129883,-8.069116592407227
les visiteurs descendent les escaliers de la maison et mettent la nappe sur la table,-10.510696411132812,-13.147032737731934,-10.260031700134277,-7.247192859649658,-6.173871994018555,-6.373220920562744
le visiteur descend les escaliers de la maison et mettent la nappe sur la table,-11.934022903442383,-14.318135261535645,-12.245368003845215,-10.327176094055176,-9.116585731506348,-8.853078842163086
le visiteur attend le repas chaud et arrive au lieu de rendez-vous,-8.44176197052002,-10.745569229125977,-6.687982559204102,-6.863499641418457,-7.100289344787598,-7.266225814819336
les visiteurs attendent le repas chaud et arrive au lieu de rendez-vous,-8.012812614440918,-10.022674560546875,-7.512469291687012,-7.962958812713623,-9.541922569274902,-8.315714836120605
les visiteurs attendent le repas chaud et arrivent au lieu de rendez-vous,-8.527765274047852,-11.17918872833252,-6.947398662567139,-8.124590873718262,-9.401300430297852,-8.537284851074219
le visiteur attend le repas chaud et arrivent au lieu de rendez-vous,-9.982382774353027,-12.228668212890625,-8.843779563903809,-10.004749298095703,-13.168172836303711,-11.816182136535645
le visiteur attend le repas chaud et met la nappe sur la table,-9.612356185913086,-10.990213394165039,-8.984646797180176,-6.035125732421875,-6.039334774017334,-5.980389595031738
les visiteurs attendent le repas chaud et met la nappe sur la table,-9.301591873168945,-9.966649055480957,-8.98569107055664,-7.804965496063232,-8.380473136901855,-7.185077667236328
les visiteurs attendent le repas chaud et mettent la nappe sur la table,-8.80432415008545,-10.94603443145752,-9.70118236541748,-6.893177509307861,-8.740291595458984,-6.221375465393066
le visiteur attend le repas chaud et mettent la nappe sur la table,-10.01456069946289,-12.688395500183105,-12.320247650146484,-8.480827331542969,-11.906061172485352,-9.601766586303711
le visiteur arrive au lieu de rendez-vous et met la nappe sur la table,-11.877737045288086,-13.095035552978516,-11.099753379821777,-6.252205848693848,-5.668308734893799,-5.598278522491455
les visiteurs arrivent au lieu de rendez-vous et met la nappe sur la table,-11.792461395263672,-13.618264198303223,-10.964146614074707,-8.343254089355469,-8.467572212219238,-8.037068367004395
les visiteurs arrivent au lieu de rendez-vous et mettent la nappe sur la table,-11.634424209594727,-13.765992164611816,-11.093746185302734,-7.288121700286865,-6.012632369995117,-4.957047939300537
le visiteur arrive au lieu de rendez-vous et mettent la nappe sur la table,-12.11623764038086,-13.567024230957031,-11.351242065429688,-10.663243293762207,-9.652984619140625,-9.146098136901855
le joueur poursuit une nouvelle mission et grandit très rapidement,-11.868990898132324,-11.599563598632812,-12.246919631958008,-9.315760612487793,-10.123052597045898,-10.382290840148926
les joueurs poursuivent une nouvelle mission et grandit très rapidement,-11.958860397338867,-12.112653732299805,-12.312804222106934,-10.302247047424316,-11.218382835388184,-10.69609546661377
les joueurs poursuivent une nouvelle mission et grandissent très rapidement,-19.76448631286621,-17.491798400878906,-23.522040367126465,-10.47652816772461,-11.130058288574219,-9.96943187713623
le joueur poursuit une nouvelle mission et grandissent très rapidement,-21.844114780426025,-19.19291591644287,-24.19436740875244,-17.70860195159912,-15.659968852996826,-15.376701831817627
le joueur poursuit une nouvelle mission et apprend une nouvelle histoire,-12.209489822387695,-12.23389720916748,-12.19570541381836,-8.443822860717773,-7.16819953918457,-7.810831069946289
les joueurs poursuivent une nouvelle mission et apprend une nouvelle histoire,-12.086586952209473,-12.510124206542969,-12.521631240844727,-10.937419891357422,-10.733434677124023,-11.172114372253418
les joueurs poursuivent une nouvelle mission et apprennent une nouvelle histoire,-13.263691902160645,-12.449508666992188,-14.516594886779785,-7.412367820739746,-9.645763874053955,-9.073798656463623
le joueur poursuit une nouvelle mission et apprennent une nouvelle histoire,-14.311954498291016,-13.55517864227295,-14.557229042053223,-12.164784908294678,-12.092885494232178,-12.435595512390137
le joueur poursuit une nouvelle mission et descend les escaliers de la maison,-8.595653533935547,-11.289406776428223,-10.877135276794434,-10.682363510131836,-9.788030624389648,-8.717310905456543
les joueurs poursuivent une nouvelle mission et descend les escaliers de la maison,-8.46331787109375,-12.1854248046875,-10.568629264831543,-9.601902961730957,-9.820956230163574,-8.33166217803955
les joueurs poursuivent une nouvelle mission et descendent les escaliers de la maison,-11.816375732421875,-14.555373191833496,-13.942792415618896,-9.641131401062012,-10.378511428833008,-8.473980903625488
le joueur poursuit une nouvelle mission et descendent les escaliers de la maison,-12.518121719360352,-14.364575862884521,-14.419444561004639,-18.39470100402832,-16.616090774536133,-16.199210166931152
le joueur poursuit une nouvelle mission et attend le repas chaud,-9.047993659973145,-10.83510684967041,-11.587310791015625,-10.029261589050293,-8.704957962036133,-8.102737426757812
les joueurs poursuivent une nouvelle mission et attend le repas chaud,-9.398209571838379,-11.836455345153809,-11.247904777526855,-9.835555076599121,-9.224370956420898,-8.608316421508789
les joueurs poursuivent une nouvelle mission et attendent le repas chaud,-13.91024112701416,-14.743160247802734,-12.97048568725586,-9.842848777770996,-9.319426536560059,-8.843356132507324
le joueur poursuit une nouvelle mission et attendent le repas chaud,-14.572987079620361,-15.352954387664795,-14.216270446777344,-17.961987018585205,-14.122695922851562,-15.671205520629883
le joueur poursuit une nouvelle mission et arrive au lieu de rendez-vous,-9.144261360168457,-12.189864158630371,-10.834576606750488,-6.330460548400879,-5.189934253692627,-5.9157490730285645
les joueurs poursuivent une nouvelle mission et arrive au lieu de rendez-vous,-9.791650772094727,-12.573951721191406,-10.728541374206543,-7.785684108734131,-6.8449296951293945,-7.242195129394531
les joueurs poursuivent une nouvelle mission et arrivent au lieu de rendez-vous,-11.002049446105957,-11.657979965209961,-10.00479507446289,-7.343841552734375,-5.313671588897705,-5.316227436065674
le joueur poursuit une nouvelle mission et arrivent au lieu de rendez-vous,-12.316774368286133,-12.01561164855957,-10.912382125854492,-11.47053050994873,-9.075952529907227,-8.035139083862305
le joueur poursuit une nouvelle mission et met la nappe sur la table,-9.783483505249023,-10.151396751403809,-9.710331916809082,-5.680160045623779,-5.312403678894043,-5.557944297790527
les joueurs poursuivent une nouvelle mission et met la nappe sur la table,-9.898465156555176,-9.645021438598633,-9.744892120361328,-7.294276237487793,-7.360763072967529,-7.496580123901367
les joueurs poursuivent une nouvelle mission et mettent la nappe sur la table,-9.236128807067871,-11.482325553894043,-12.69871711730957,-6.080759525299072,-5.4622368812561035,-6.768484115600586
le joueur poursuit une nouvelle mission et mettent la nappe sur la table,-10.322925567626953,-12.96700668334961,-13.693804740905762,-10.590017318725586,-9.3831205368042,-9.769503593444824
le joueur grandit très rapidement et apprend une nouvelle histoire,-11.669316291809082,-14.078744888305664,-11.153407096862793,-8.796690940856934,-8.656451225280762,-6.739913463592529
les joueurs grandissent très rapidement et apprend une nouvelle histoire,-11.514243125915527,-14.166638374328613,-10.205697059631348,-11.073152542114258,-10.704325675964355,-10.278961181640625
les joueurs grandissent très rapidement et apprennent une nouvelle histoire,-11.924582481384277,-12.814509391784668,-10.847394943237305,-7.4510955810546875,-7.76718282699585,-7.85134744644165
le joueur grandit très rapidement et apprennent une nouvelle histoire,-14.804551124572754,-15.389177322387695,-14.454333305358887,-12.967021942138672,-10.55490779876709,-12.771729469299316
le joueur grandit très rapidement et descend les escaliers de la maison,-8.938153266906738,-10.530496597290039,-8.7288179397583,-8.188764572143555,-9.018832206726074,-8.187620162963867
les joueurs grandissent très rapidement et descend les escaliers de la maison,-9.479798316955566,-12.679908752441406,-9.328714370727539,-8.089485168457031,-9.406402587890625,-8.535530090332031
les joueurs grandissent très rapidement et descendent les escaliers de la maison,-10.893937110900879,-13.78859806060791,-10.873285293579102,-8.13330078125,-9.434707641601562,-8.698877334594727
le joueur grandit très rapidement et descendent les escaliers de la maison,-13.492266178131104,-14.891448020935059,-10.876019477844238,-14.333802223205566,-11.95022201538086,-14.19798231124878
le joueur grandit très rapidement et attend le repas chaud,-8.8930025100708,-10.121450424194336,-9.140497207641602,-8.53945255279541,-10.346434593200684,-8.263940811157227
les joueurs grandissent très rapidement et attend le repas chaud,-8.611985206604004,-11.040443420410156,-8.833157539367676,-8.247206687927246,-9.810883522033691,-8.041793823242188
les joueurs grandissent très rapidement et attendent le repas chaud,-10.45303726196289,-13.79765796661377,-9.248801231384277,-8.26770305633545,-9.82494831085205,-8.744424819946289
le joueur grandit très rapidement et attendent le repas chaud,-14.338225364685059,-15.736435890197754,-11.680404663085938,-14.924436569213867,-12.407576560974121,-14.842591762542725
le joueur grandit très rapidement et arrive au lieu de rendez-vous,-7.989317417144775,-10.649600982666016,-7.461108684539795,-5.065703392028809,-6.608966827392578,-4.0814971923828125
les joueurs grandissent très rapidement et arrive au lieu de rendez-vous,-8.851912498474121,-11.676029205322266,-7.013311862945557,-7.330938339233398,-8.268516540527344,-7.159390926361084
les joueurs grandissent très rapidement et arrivent au lieu de rendez-vous,-9.922561645507812,-11.474397659301758,-9.182260513305664,-6.536324977874756,-7.33152961730957,-6.217343330383301
le joueur grandit très rapidement et arrivent au lieu de rendez-vous,-10.521679878234863,-11.5424222946167,-9.448612213134766,-11.368219375610352,-10.651593208312988,-10.795821189880371
le joueur grandit très rapidement et met la nappe sur la table,-10.383952140808105,-10.882121086120605,-9.690462112426758,-7.010566234588623,-7.129735946655273,-5.8761444091796875
les joueurs grandissent très rapidement et met la nappe sur la table,-9.71657657623291,-11.854528427124023,-9.791254997253418,-8.579090118408203,-8.474970817565918,-9.297819137573242
les joueurs grandissent très rapidement et mettent la nappe sur la table,-10.122525215148926,-13.429984092712402,-12.186854362487793,-6.671815395355225,-6.968799591064453,-5.6776604652404785
le joueur grandit très rapidement et mettent la nappe sur la table,-12.000434875488281,-14.070552825927734,-13.249692916870117,-11.692306518554688,-10.036735534667969,-10.332469940185547
le joueur apprend une nouvelle histoire et descend les escaliers de la maison,-10.554187774658203,-10.629633903503418,-10.880130767822266,-11.46389389038086,-8.636622428894043,-8.400577545166016
les joueurs apprennent une nouvelle histoire et descend les escaliers de la maison,-10.252216339111328,-11.408364295959473,-11.016667366027832,-10.815436363220215,-8.764402389526367,-8.432578086853027
les joueurs apprennent une nouvelle histoire et descendent les escaliers de la maison,-13.256558895111084,-12.487314224243164,-14.23225450515747,-10.943222045898438,-10.020172119140625,-9.945569038391113
le joueur apprend une nouvelle histoire et descendent les escaliers de la maison,-14.853606700897217,-13.48059368133545,-14.486310958862305,-19.075525283813477,-16.238440990447998,-15.858083724975586
le joueur apprend une nouvelle histoire et attend le repas chaud,-8.525593757629395,-11.876936912536621,-10.283737182617188,-10.11056900024414,-7.527528762817383,-8.354677200317383
les joueurs apprennent une nouvelle histoire et attend le repas chaud,-9.783161163330078,-11.036700248718262,-10.103346824645996,-11.320068359375,-9.543601036071777,-10.193526268005371
les joueurs apprennent une nouvelle histoire et attendent le repas chaud,-12.765204429626465,-14.54933214187622,-14.009740829467773,-11.412755012512207,-9.81955623626709,-10.75361442565918
le joueur apprend une nouvelle histoire et attendent le repas chaud,-14.441892147064209,-17.487947940826416,-15.095812320709229,-19.072513580322266,-13.880895614624023,-15.912692546844482
le joueur apprend une nouvelle histoire et arrive au lieu de rendez-vous,-9.339583396911621,-12.184392929077148,-9.230642318725586,-7.665619373321533,-7.550629138946533,-7.385529518127441
les joueurs apprennent une nouvelle histoire et arrive au lieu de rendez-vous,-9.905301094055176,-11.741067886352539,-10.051583290100098,-11.316555976867676,-10.927735328674316,-10.566092491149902
les joueurs apprennent une nouvelle histoire et arrivent au lieu de rendez-vous,-11.503277778625488,-11.710386276245117,-10.454533576965332,-10.545466423034668,-9.872039794921875,-9.25494384765625
le joueur apprend une nouvelle histoire et arrivent au lieu de rendez-vous,-12.274916648864746,-13.307254791259766,-12.141009330749512,-12.922738075256348,-10.598896026611328,-10.552986145019531
le joueur apprend une nouvelle histoire et met la nappe sur la table,-10.675333976745605,-11.85954475402832,-10.538475036621094,-6.357854843139648,-6.067239761352539,-6.42266845703125
les joueurs apprennent une nouvelle histoire et met la nappe sur la table,-12.152047157287598,-11.761533737182617,-11.213529586791992,-8.57663631439209,-8.980257987976074,-9.728660583496094
les joueurs apprennent une nouvelle histoire et mettent la nappe sur la table,-11.615019798278809,-12.101923942565918,-12.683000564575195,-8.848508834838867,-9.253891944885254,-9.515921592712402
le joueur apprend une nouvelle histoire et mettent la nappe sur la table,-11.642533302307129,-14.076539993286133,-14.880817413330078,-11.56049919128418,-9.821125030517578,-11.1106595993042
le joueur descend les escaliers de la maison et attend le repas chaud,-8.141938209533691,-11.781646728515625,-8.352476119995117,-9.294719696044922,-8.588451385498047,-8.328463554382324
les joueurs descendent les escaliers de la maison et attend le repas chaud,-7.8607892990112305,-11.017621994018555,-8.629992485046387,-8.92384147644043,-9.292034149169922,-8.493549346923828
les joueurs descendent les escaliers de la maison et attendent le repas chaud,-9.500063419342041,-14.21598482131958,-8.873557090759277,-8.934429168701172,-9.310125350952148,-8.930169105529785
le joueur descend les escaliers de la maison et attendent le repas chaud,-11.735608577728271,-17.70160150527954,-9.476792335510254,-15.967272758483887,-12.103608131408691,-15.33623456954956
le joueur descend les escaliers de la maison et arrive au lieu de rendez-vous,-9.663431167602539,-13.900605201721191,-9.75486946105957,-7.726754665374756,-7.495325088500977,-5.901490688323975
les joueurs descendent les escaliers de la maison et arrive au lieu de rendez-vous,-9.573802947998047,-13.040277481079102,-9.63201904296875,-8.259421348571777,-8.528315544128418,-7.707940101623535
les joueurs descendent les escaliers de la maison et arrivent au lieu de rendez-vous,-10.024316787719727,-13.217538833618164,-8.047646522521973,-7.1139678955078125,-5.818591117858887,-6.487461566925049
le joueur descend les escaliers de la maison et arrivent au lieu de rendez-vous,-11.76230525970459,-14.229989051818848,-8.759258270263672,-11.10402774810791,-7.061339378356934,-8.368427276611328
le joueur descend les escaliers de la maison et met la nappe sur la table,-10.062519073486328,-13.000505447387695,-9.951314926147461,-6.497536659240723,-6.98716926574707,-6.21680212020874
les joueurs descendent les escaliers de la maison et met la nappe sur la table,-9.78666877746582,-12.303974151611328,-10.028575897216797,-8.22446060180664,-9.269800186157227,-7.896055698394775
les joueurs descendent les escaliers de la maison et mettent la nappe sur la table,-9.415507316589355,-14.180981636047363,-10.56028938293457,-6.744568824768066,-5.8171820640563965,-6.150101184844971
le joueur descend les escaliers de la maison et mettent la nappe sur la table,-11.13315200805664,-15.39866828918457,-11.547006607055664,-10.371705055236816,-7.691012859344482,-8.553200721740723
le joueur attend le repas chaud et arrive au lieu de rendez-vous,-7.744513034820557,-11.542521476745605,-6.332795143127441,-5.938888072967529,-7.007227420806885,-6.191150188446045
les joueurs attendent le repas chaud et arrive au lieu de rendez-vous,-7.233299732208252,-10.405377388000488,-7.00507116317749,-7.220649242401123,-8.148405075073242,-7.569674491882324
les joueurs attendent le repas chaud et arrivent au lieu de rendez-vous,-8.018318176269531,-11.477156639099121,-7.389113426208496,-7.07136869430542,-8.852080345153809,-7.749135494232178
le joueur attend le repas chaud et arrivent au lieu de rendez-vous,-9.688039779663086,-12.782736778259277,-8.82648754119873,-9.468461036682129,-12.417580604553223,-10.689942359924316
le joueur attend le repas chaud et met la nappe sur la table,-8.940677642822266,-10.906962394714355,-8.7957763671875,-5.554641246795654,-6.164638042449951,-6.200705528259277
les joueurs attendent le repas chaud et met la nappe sur la table,-8.338560104370117,-10.438349723815918,-8.947202682495117,-7.498046875,-7.782515525817871,-7.147500038146973
les joueurs attendent le repas chaud et mettent la nappe sur la table,-7.961438179016113,-11.939406394958496,-10.34385871887207,-6.040044784545898,-7.995846748352051,-5.963747501373291
le joueur attend le repas chaud et mettent la nappe sur la table,-9.38042163848877,-13.892434120178223,-12.34195613861084,-8.483598709106445,-11.666035652160645,-8.921137809753418
le joueur arrive au lieu de rendez-vous et met la nappe sur la table,-11.582446098327637,-13.446669578552246,-11.086474418640137,-6.189328193664551,-5.722520351409912,-6.394511699676514
