sentence,en_childes_best_clm_42,en_childes_best_clm_30,en_childes_best_clm_13,en_wikipedia_best_clm_42,en_wikipedia_best_clm_30,en_wikipedia_best_clm_13
the roommate that the guards love complains,-6.088362693786621,-7.560183525085449,-7.068258762359619,-11.559523582458496,-13.884419441223145,-13.682023048400879
the roommate that the guard love complains,-9.556587219238281,-12.09389591217041,-10.545607566833496,-13.187108039855957,-11.703330993652344,-12.518596649169922
the roommates that the guard loves complain,-6.273347854614258,-7.886580467224121,-6.719298362731934,-11.279370784759521,-13.194175720214844,-14.280014991760254
the roommates that the guards loves complain,-11.138916969299316,-9.876581192016602,-9.428911209106445,-15.316707134246826,-14.921723365783691,-13.790182113647461
the roommates that the guards love complain,-5.990889549255371,-8.705236434936523,-7.144904136657715,-11.260623931884766,-13.053008079528809,-13.462542533874512
the roommates that the guard love complain,-9.188871383666992,-11.17091178894043,-10.147839546203613,-12.531342506408691,-11.74304485321045,-12.16050910949707
the roommate that the guard admires complains,-14.109498023986816,-18.646215438842773,-16.737969398498535,-14.932175636291504,-18.18123722076416,-19.41369342803955
the roommate that the guards admires complains,-17.614601135253906,-22.571731090545654,-17.299173831939697,-16.440990447998047,-17.102014541625977,-19.400080680847168
the roommate that the guards admire complains,-16.22628688812256,-21.485135555267334,-15.667810916900635,-14.345383644104004,-18.14083194732666,-17.135308265686035
the roommate that the guard admire complains,-12.547811508178711,-16.580588340759277,-15.084249496459961,-16.753477096557617,-19.84475612640381,-17.026430130004883
the roommates that the guard admires complain,-14.124825477600098,-19.000596523284912,-16.27858066558838,-14.398584365844727,-17.614174842834473,-20.079594612121582
the roommates that the guards admires complain,-18.14180850982666,-25.219799518585205,-16.922630786895752,-15.426448822021484,-15.71827507019043,-20.878324508666992
the roommates that the guards admire complain,-16.862716674804688,-24.09300184249878,-15.23616075515747,-12.795049667358398,-16.24862003326416,-16.384166717529297
the roommates that the guard admire complain,-12.774680137634277,-17.007822513580322,-14.594156265258789,-15.401622772216797,-18.317513465881348,-15.754258155822754
the roommate that the guard likes arrives,-7.759058952331543,-9.808616638183594,-7.292394638061523,-14.730911254882812,-11.946720123291016,-15.012608528137207
the roommate that the guards likes arrives,-10.635622024536133,-9.277970314025879,-9.831259727478027,-14.201485633850098,-10.152583122253418,-15.175162315368652
the roommate that the guards like arrives,-6.387229919433594,-6.907573699951172,-7.137529373168945,-8.462790489196777,-10.565658569335938,-9.921253204345703
the roommate that the guard like arrives,-6.649219989776611,-9.137212753295898,-8.655839920043945,-8.5971040725708,-11.61575698852539,-10.474672317504883
the roommates that the guard likes arrive,-7.291619300842285,-8.36229133605957,-7.023119926452637,-15.18342399597168,-13.349101066589355,-14.716355323791504
the roommates that the guards likes arrive,-10.434676170349121,-8.662397384643555,-9.962200164794922,-14.32191276550293,-9.925610065460205,-15.197245597839355
the roommates that the guards like arrive,-6.208298206329346,-7.063021659851074,-6.714129447937012,-8.55900764465332,-10.202244758605957,-9.856338500976562
the roommates that the guard like arrive,-6.7918806076049805,-8.208418846130371,-8.559366226196289,-7.945563316345215,-12.011474609375,-10.43721866607666
the roommate that the guard hates arrives,-13.730934143066406,-16.855308532714844,-16.20097780227661,-14.476930618286133,-15.92209243774414,-16.59462547302246
the roommate that the guards hates arrives,-14.663778305053711,-18.065011024475098,-16.946578979492188,-14.18856430053711,-14.903007507324219,-17.033218383789062
the roommate that the guards hate arrives,-10.472503662109375,-12.717435836791992,-12.971637725830078,-11.036824703216553,-12.314574241638184,-12.528457641601562
the roommate that the guard hate arrives,-11.65553092956543,-15.209617614746094,-13.468925476074219,-13.322425842285156,-14.33391284942627,-14.54731798171997
the roommates that the guard hates arrive,-14.225914001464844,-14.058055400848389,-15.661251068115234,-13.499515056610107,-16.515435218811035,-16.887968063354492
the roommates that the guards hates arrive,-15.138495445251465,-18.114201068878174,-16.548739433288574,-13.690951824188232,-14.165578842163086,-17.528356552124023
the roommates that the guards hate arrive,-10.888540267944336,-13.137517929077148,-13.045884132385254,-10.317684650421143,-11.556427001953125,-11.967207908630371
the roommates that the guard hate arrive,-11.985079765319824,-14.377903938293457,-13.205455780029297,-12.276403903961182,-14.840841293334961,-14.036040306091309
the roommate that the guard loves arrives,-6.840116500854492,-9.135102272033691,-7.390857219696045,-11.698301315307617,-12.881795883178711,-14.90017032623291
the roommate that the guards loves arrives,-11.590383529663086,-9.435540199279785,-9.753536224365234,-15.350637912750244,-15.61339282989502,-13.732682228088379
the roommate that the guards love arrives,-6.088362693786621,-7.560183525085449,-7.068258762359619,-11.559523582458496,-13.884419441223145,-13.682023048400879
the roommate that the guard love arrives,-9.556587219238281,-12.09389591217041,-10.545607566833496,-13.187108039855957,-11.703330993652344,-12.518596649169922
the roommates that the guard loves arrive,-6.273347854614258,-7.886580467224121,-6.719298362731934,-11.279370784759521,-13.194175720214844,-14.280014991760254
the roommates that the guards loves arrive,-11.138916969299316,-9.876581192016602,-9.428911209106445,-15.316707134246826,-14.921723365783691,-13.790182113647461
the roommates that the guards love arrive,-5.990889549255371,-8.705236434936523,-7.144904136657715,-11.260623931884766,-13.053008079528809,-13.462542533874512
the roommates that the guard love arrive,-9.188871383666992,-11.17091178894043,-10.147839546203613,-12.531342506408691,-11.74304485321045,-12.16050910949707
the roommate that the guard admires arrives,-14.109498023986816,-18.646215438842773,-16.737969398498535,-14.932175636291504,-18.18123722076416,-19.41369342803955
the roommate that the guards admires arrives,-17.614601135253906,-22.571731090545654,-17.299173831939697,-16.440990447998047,-17.102014541625977,-19.400080680847168
the roommate that the guards admire arrives,-16.22628688812256,-21.485135555267334,-15.667810916900635,-14.345383644104004,-18.14083194732666,-17.135308265686035
the roommate that the guard admire arrives,-12.547811508178711,-16.580588340759277,-15.084249496459961,-16.753477096557617,-19.84475612640381,-17.026430130004883
the roommates that the guard admires arrive,-14.124825477600098,-19.000596523284912,-16.27858066558838,-14.398584365844727,-17.614174842834473,-20.079594612121582
the roommates that the guards admires arrive,-18.14180850982666,-25.219799518585205,-16.922630786895752,-15.426448822021484,-15.71827507019043,-20.878324508666992
the roommates that the guards admire arrive,-16.862716674804688,-24.09300184249878,-15.23616075515747,-12.795049667358398,-16.24862003326416,-16.384166717529297
the roommates that the guard admire arrive,-12.774680137634277,-17.007822513580322,-14.594156265258789,-15.401622772216797,-18.317513465881348,-15.754258155822754
the roommate that the guard likes disappears,-7.759058952331543,-9.808616638183594,-7.292394638061523,-14.730911254882812,-11.946720123291016,-15.012608528137207
the roommate that the guards likes disappears,-10.635623931884766,-9.277969360351562,-9.831262588500977,-14.201485633850098,-10.152583122253418,-15.175162315368652
the roommate that the guards like disappears,-6.387230396270752,-6.907575607299805,-7.137526988983154,-8.462790489196777,-10.565658569335938,-9.921253204345703
the roommate that the guard like disappears,-6.649219989776611,-9.137212753295898,-8.655839920043945,-8.5971040725708,-11.61575698852539,-10.474672317504883
the roommates that the guard likes disappear,-7.291619300842285,-8.36229133605957,-7.023119926452637,-15.18342399597168,-13.349101066589355,-14.716355323791504
the roommates that the guards likes disappear,-10.434676170349121,-8.662397384643555,-9.962200164794922,-14.32191276550293,-9.925610065460205,-15.197245597839355
the roommates that the guards like disappear,-6.208298206329346,-7.063021659851074,-6.714129447937012,-8.55900764465332,-10.202244758605957,-9.856338500976562
the roommates that the guard like disappear,-6.7918806076049805,-8.208418846130371,-8.559366226196289,-7.945563316345215,-12.011474609375,-10.43721866607666
the roommate that the guard hates disappears,-13.730936050415039,-16.855310440063477,-16.20097780227661,-14.476930618286133,-15.92209243774414,-16.59462547302246
the roommate that the guards hates disappears,-14.663778305053711,-18.065011024475098,-16.946578979492188,-14.18856430053711,-14.903007507324219,-17.033218383789062
the roommate that the guards hate disappears,-10.472505569458008,-12.717437744140625,-12.971635818481445,-11.036824703216553,-12.314574241638184,-12.528457641601562
the roommate that the guard hate disappears,-11.65553092956543,-15.209617614746094,-13.468925476074219,-13.322425842285156,-14.33391284942627,-14.54731798171997
the roommates that the guard hates disappear,-14.225914001464844,-14.058055400848389,-15.661251068115234,-13.499515056610107,-16.515435218811035,-16.887968063354492
the roommates that the guards hates disappear,-15.138495922088623,-18.11419916152954,-16.54874277114868,-13.690951824188232,-14.165578842163086,-17.528356552124023
the roommates that the guards hate disappear,-10.888540267944336,-13.137517929077148,-13.045884132385254,-10.317684650421143,-11.556427001953125,-11.967207908630371
the roommates that the guard hate disappear,-11.985079765319824,-14.377903938293457,-13.205455780029297,-12.276403903961182,-14.840841293334961,-14.036040306091309
the roommate that the guard loves disappears,-6.840116500854492,-9.135102272033691,-7.390857219696045,-11.698301315307617,-12.881795883178711,-14.90017032623291
the roommate that the guards loves disappears,-11.590384483337402,-9.435539245605469,-9.75353717803955,-15.350637912750244,-15.61339282989502,-13.732682228088379
the roommate that the guards love disappears,-6.088363170623779,-7.560184478759766,-7.068258285522461,-11.559523582458496,-13.884419441223145,-13.682023048400879
the roommate that the guard love disappears,-9.556587219238281,-12.09389591217041,-10.545607566833496,-13.187108039855957,-11.703330993652344,-12.518596649169922
the roommates that the guard loves disappear,-6.273347854614258,-7.886580467224121,-6.719298362731934,-11.279370784759521,-13.194175720214844,-14.280014991760254
the roommates that the guards loves disappear,-11.138916969299316,-9.876581192016602,-9.428911209106445,-15.316707134246826,-14.921723365783691,-13.790182113647461
the roommates that the guards love disappear,-5.990889549255371,-8.705236434936523,-7.144904136657715,-11.260623931884766,-13.053008079528809,-13.462542533874512
the roommates that the guard love disappear,-9.188871383666992,-11.17091178894043,-10.147839546203613,-12.531342506408691,-11.74304485321045,-12.16050910949707
the roommate that the guard admires disappears,-14.109498023986816,-18.646215438842773,-16.737969398498535,-14.932175636291504,-18.18123722076416,-19.41369342803955
the roommate that the guards admires disappears,-17.614601135253906,-22.571731090545654,-17.299173831939697,-16.440990447998047,-17.102014541625977,-19.400080680847168
the roommate that the guards admire disappears,-16.22628688812256,-21.485135555267334,-15.667810916900635,-14.345383644104004,-18.14083194732666,-17.135308265686035
the roommate that the guard admire disappears,-12.547811508178711,-16.580588340759277,-15.084249496459961,-16.753477096557617,-19.84475612640381,-17.026430130004883
the roommates that the guard admires disappear,-14.124825477600098,-19.000596523284912,-16.27858066558838,-14.398584365844727,-17.614174842834473,-20.079594612121582
the roommates that the guards admires disappear,-18.14180850982666,-25.219799518585205,-16.922630786895752,-15.426448822021484,-15.71827507019043,-20.878324508666992
the roommates that the guards admire disappear,-16.862716674804688,-24.09300184249878,-15.23616075515747,-12.795049667358398,-16.24862003326416,-16.384166717529297
the roommates that the guard admire disappear,-12.774683952331543,-17.007822036743164,-14.594159126281738,-15.401622772216797,-18.317513465881348,-15.754258155822754
the roommate that the guard likes bows,-7.759058952331543,-9.808616638183594,-7.292394638061523,-14.730911254882812,-11.946720123291016,-15.012608528137207
the roommate that the guards likes bows,-10.635623931884766,-9.277969360351562,-9.831262588500977,-14.201485633850098,-10.152583122253418,-15.175162315368652
the roommate that the guards like bows,-6.387230396270752,-6.907575607299805,-7.137526988983154,-8.462790489196777,-10.565658569335938,-9.921253204345703
the roommate that the guard like bows,-6.649219989776611,-9.137212753295898,-8.655839920043945,-8.5971040725708,-11.61575698852539,-10.474672317504883
the roommates that the guard likes bow,-7.291619300842285,-8.36229133605957,-7.023119926452637,-15.18342399597168,-13.349101066589355,-14.716355323791504
the roommates that the guards likes bow,-10.434676170349121,-8.662397384643555,-9.962200164794922,-14.32190990447998,-9.925612926483154,-15.197240829467773
the roommates that the guards like bow,-6.208298206329346,-7.063021659851074,-6.714129447937012,-8.55900764465332,-10.202244758605957,-9.856338500976562
the roommates that the guard like bow,-6.7918806076049805,-8.208418846130371,-8.559366226196289,-7.945563316345215,-12.011474609375,-10.43721866607666
the roommate that the guard hates bows,-13.730936050415039,-16.855310440063477,-16.20097780227661,-14.476930618286133,-15.92209243774414,-16.59462547302246
the roommate that the guards hates bows,-14.663778305053711,-18.065011024475098,-16.946578979492188,-14.18856430053711,-14.903007507324219,-17.033218383789062
the roommate that the guards hate bows,-10.472505569458008,-12.717437744140625,-12.971635818481445,-11.036824703216553,-12.314574241638184,-12.528457641601562
the roommate that the guard hate bows,-11.65553092956543,-15.209617614746094,-13.468925476074219,-13.322425842285156,-14.33391284942627,-14.54731798171997
the roommates that the guard hates bow,-14.225914001464844,-14.058055400848389,-15.661251068115234,-13.499515056610107,-16.515435218811035,-16.887968063354492
the roommates that the guards hates bow,-15.138495922088623,-18.11419916152954,-16.54874277114868,-13.690955638885498,-14.165576934814453,-17.528356552124023
the roommates that the guards hate bow,-10.888540267944336,-13.137517929077148,-13.045884132385254,-10.31769323348999,-11.556427001953125,-11.967203140258789
the roommates that the guard hate bow,-11.985079765319824,-14.377903938293457,-13.205455780029297,-12.276403903961182,-14.840841293334961,-14.036040306091309
the roommate that the guard loves bows,-6.840116500854492,-9.135102272033691,-7.390857219696045,-11.698301315307617,-12.881795883178711,-14.90017032623291
the roommate that the guards loves bows,-11.590384483337402,-9.435539245605469,-9.75353717803955,-15.350637912750244,-15.61339282989502,-13.732682228088379
the roommate that the guards love bows,-6.088363170623779,-7.560184478759766,-7.068258285522461,-11.559523582458496,-13.884419441223145,-13.682023048400879
the roommate that the guard love bows,-9.556587219238281,-12.09389591217041,-10.545607566833496,-13.187108039855957,-11.703330993652344,-12.518596649169922
the roommates that the guard loves bow,-6.273347854614258,-7.886580467224121,-6.719298362731934,-11.279370784759521,-13.194175720214844,-14.280014991760254
the roommates that the guards loves bow,-11.138916969299316,-9.876581192016602,-9.428911209106445,-15.31671142578125,-14.921723365783691,-13.790179252624512
the roommates that the guards love bow,-5.990889549255371,-8.705236434936523,-7.144904136657715,-11.260623931884766,-13.053008079528809,-13.462542533874512
the roommates that the guard love bow,-9.188871383666992,-11.17091178894043,-10.147839546203613,-12.531342506408691,-11.74304485321045,-12.16050910949707
the roommate that the guard admires bows,-14.109498023986816,-18.646215438842773,-16.737969398498535,-14.932175636291504,-18.18123722076416,-19.41369342803955
the roommate that the guards admires bows,-17.614601135253906,-22.571731090545654,-17.299173831939697,-16.440990447998047,-17.102014541625977,-19.400080680847168
the roommate that the guards admire bows,-16.22628688812256,-21.485135555267334,-15.667810916900635,-14.345383644104004,-18.14083194732666,-17.135308265686035
the roommate that the guard admire bows,-12.547811508178711,-16.580588340759277,-15.084249496459961,-16.753477096557617,-19.84475612640381,-17.026430130004883
the roommates that the guard admires bow,-14.124825477600098,-19.000596523284912,-16.27858066558838,-14.398588180541992,-17.614169120788574,-20.079588890075684
the roommates that the guards admires bow,-18.14180850982666,-25.219799518585205,-16.922630786895752,-15.426448822021484,-15.71827507019043,-20.878324508666992
the roommates that the guards admire bow,-16.862716674804688,-24.09300184249878,-15.23616075515747,-12.795049667358398,-16.24862003326416,-16.384166717529297
the roommates that the guard admire bow,-12.774683952331543,-17.007822036743164,-14.594159126281738,-15.40162181854248,-18.317505836486816,-15.754247665405273
the roommate that the guard likes hides,-7.759058952331543,-9.808616638183594,-7.292394638061523,-14.730911254882812,-11.946720123291016,-15.012608528137207
the roommate that the guards likes hides,-10.635623931884766,-9.277969360351562,-9.831262588500977,-14.201485633850098,-10.152583122253418,-15.175162315368652
the roommate that the guards like hides,-6.387230396270752,-6.907575607299805,-7.137526988983154,-8.462790489196777,-10.565658569335938,-9.921253204345703
the roommate that the guard like hides,-6.649219989776611,-9.137212753295898,-8.655839920043945,-8.5971040725708,-11.61575698852539,-10.474672317504883
the roommates that the guard likes hide,-7.291619300842285,-8.36229133605957,-7.023119926452637,-15.18342399597168,-13.349101066589355,-14.716355323791504
the roommates that the guards likes hide,-10.434676170349121,-8.662397384643555,-9.962200164794922,-14.32191276550293,-9.925610065460205,-15.197245597839355
the roommates that the guards like hide,-6.208298206329346,-7.063021659851074,-6.714129447937012,-8.55900764465332,-10.202244758605957,-9.856338500976562
the roommates that the guard like hide,-6.7918806076049805,-8.208418846130371,-8.559366226196289,-7.945563316345215,-12.011474609375,-10.43721866607666
the roommate that the guard hates hides,-13.730936050415039,-16.855310440063477,-16.20097780227661,-14.476930618286133,-15.92209243774414,-16.59462547302246
the roommate that the guards hates hides,-14.663778305053711,-18.065011024475098,-16.946578979492188,-14.18856430053711,-14.903007507324219,-17.033218383789062
the roommate that the guards hate hides,-10.472505569458008,-12.717437744140625,-12.971635818481445,-11.036824703216553,-12.314574241638184,-12.528457641601562
the roommate that the guard hate hides,-11.65553092956543,-15.209617614746094,-13.468925476074219,-13.322425842285156,-14.33391284942627,-14.54731798171997
the roommates that the guard hates hide,-14.225914001464844,-14.058055400848389,-15.661251068115234,-13.499515056610107,-16.515435218811035,-16.887968063354492
the roommates that the guards hates hide,-15.138495922088623,-18.11419916152954,-16.54874277114868,-13.690951824188232,-14.165578842163086,-17.528356552124023
the roommates that the guards hate hide,-10.888540267944336,-13.137517929077148,-13.045884132385254,-10.317684650421143,-11.556427001953125,-11.967207908630371
the roommates that the guard hate hide,-11.985079765319824,-14.377903938293457,-13.205455780029297,-12.276403903961182,-14.840841293334961,-14.036040306091309
the roommate that the guard loves hides,-6.840116500854492,-9.135102272033691,-7.390857219696045,-11.698301315307617,-12.881795883178711,-14.90017032623291
the roommate that the guards loves hides,-11.590384483337402,-9.435539245605469,-9.75353717803955,-15.350637912750244,-15.61339282989502,-13.732682228088379
the roommate that the guards love hides,-6.088363170623779,-7.560184478759766,-7.068258285522461,-11.559523582458496,-13.884419441223145,-13.682023048400879
the roommate that the guard love hides,-9.556587219238281,-12.09389591217041,-10.545607566833496,-13.187108039855957,-11.703330993652344,-12.518596649169922
the roommates that the guard loves hide,-6.273347854614258,-7.886580467224121,-6.719298362731934,-11.279370784759521,-13.194175720214844,-14.280014991760254
the roommates that the guards loves hide,-11.138916969299316,-9.876581192016602,-9.428911209106445,-15.316707134246826,-14.921723365783691,-13.790182113647461
the roommates that the guards love hide,-5.990889549255371,-8.705236434936523,-7.144904136657715,-11.260623931884766,-13.053008079528809,-13.462542533874512
the roommates that the guard love hide,-9.188871383666992,-11.17091178894043,-10.147839546203613,-12.531342506408691,-11.74304485321045,-12.16050910949707
the roommate that the guard admires hides,-14.109498023986816,-18.646215438842773,-16.737969398498535,-14.932175636291504,-18.18123722076416,-19.41369342803955
the roommate that the guards admires hides,-17.614601135253906,-22.571731090545654,-17.299173831939697,-16.440990447998047,-17.102014541625977,-19.400080680847168
the roommate that the guards admire hides,-16.22628688812256,-21.485135555267334,-15.667810916900635,-14.345383644104004,-18.14083194732666,-17.135308265686035
the roommate that the guard admire hides,-12.547811508178711,-16.580588340759277,-15.084249496459961,-16.753477096557617,-19.84475612640381,-17.026430130004883
the roommates that the guard admires hide,-14.124825477600098,-19.000596523284912,-16.27858066558838,-14.398584365844727,-17.614174842834473,-20.079594612121582
the roommates that the guards admires hide,-18.14180850982666,-25.219799518585205,-16.922630786895752,-15.426448822021484,-15.71827507019043,-20.878324508666992
the roommates that the guards admire hide,-16.862716674804688,-24.09300184249878,-15.23616075515747,-12.795049667358398,-16.24862003326416,-16.384166717529297
the roommates that the guard admire hide,-12.774683952331543,-17.007822036743164,-14.594159126281738,-15.401622772216797,-18.317513465881348,-15.754258155822754
the roommate that the guard likes leaves,-7.759058952331543,-9.808616638183594,-7.292394638061523,-14.730911254882812,-11.946720123291016,-15.012608528137207
the roommate that the guards likes leaves,-10.635623931884766,-9.277969360351562,-9.831262588500977,-14.201489448547363,-10.152583122253418,-15.175156593322754
the roommate that the guards like leaves,-6.387230396270752,-6.907575607299805,-7.137526988983154,-8.462790489196777,-10.565658569335938,-9.921253204345703
the roommate that the guard like leaves,-6.649219989776611,-9.137212753295898,-8.655839920043945,-8.5971040725708,-11.61575698852539,-10.474672317504883
the roommates that the guard likes leave,-7.291619300842285,-8.36229133605957,-7.023119926452637,-15.18342399597168,-13.349101066589355,-14.716355323791504
the roommates that the guards likes leave,-10.434676170349121,-8.662397384643555,-9.962200164794922,-14.32190990447998,-9.925612926483154,-15.197240829467773
the roommates that the guards like leave,-6.208298206329346,-7.063021659851074,-6.714129447937012,-8.55900764465332,-10.202244758605957,-9.856338500976562
the roommates that the guard like leave,-6.7918806076049805,-8.208418846130371,-8.559366226196289,-7.945563316345215,-12.011474609375,-10.43721866607666
the roommate that the guard hates leaves,-13.730936050415039,-16.855310440063477,-16.20097780227661,-14.476930618286133,-15.92209243774414,-16.59462547302246
the roommate that the guards hates leaves,-14.66377878189087,-18.06500816345215,-16.94658136367798,-14.188559532165527,-14.903007507324219,-17.03321075439453
the roommate that the guards hate leaves,-10.472505569458008,-12.717437744140625,-12.971635818481445,-11.036818027496338,-12.314573287963867,-12.528454780578613
the roommate that the guard hate leaves,-11.65553092956543,-15.209617614746094,-13.468925476074219,-13.322425842285156,-14.33391284942627,-14.54731798171997
the roommates that the guard hates leave,-14.225914001464844,-14.058055400848389,-15.661251068115234,-13.499515056610107,-16.515435218811035,-16.887968063354492
the roommates that the guards hates leave,-15.138495922088623,-18.11419916152954,-16.54874277114868,-13.690955638885498,-14.165576934814453,-17.528356552124023
