sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13,de_childes_convergence_clm_42,de_childes_convergence_clm_30,de_childes_convergence_clm_13,de_wikipedia_convergence_clm_42,de_wikipedia_convergence_clm_30,de_wikipedia_convergence_clm_13,de_childes_best_mlm_42,de_childes_best_mlm_30,de_childes_best_mlm_13,de_wikipedia_best_mlm_42,de_wikipedia_best_mlm_30,de_wikipedia_best_mlm_13
der direktor spricht viele verschiedene sprachen und spricht viele verschiedene sprachen,-77.64710235595703,-77.61924743652344,-92.92630767822266,-66.56358337402344,-64.06243896484375,-72.42761993408203,-76.96759033203125,-81.62682342529297,-101.02188873291016,-67.17071533203125,-66.3702163696289,-71.37446594238281,-81.61763763427734,-66.27315521240234,-70.40398406982422,-72.58251953125,-79.25867462158203,-78.33308410644531
der direktor spricht viele verschiedene sprachen und sprechen viele verschiedene sprachen,-79.60279846191406,-80.64398956298828,-93.08624267578125,-66.29750061035156,-62.289398193359375,-72.75038146972656,-76.0488510131836,-86.18519592285156,-101.10613250732422,-66.60946655273438,-64.40132904052734,-71.01116943359375,-83.32942962646484,-70.02556610107422,-71.64486694335938,-67.13994598388672,-71.42776489257812,-68.05272674560547
der direktor spricht viele verschiedene sprachen und sieht gern fernsehprogramme,-85.77739715576172,-83.19790649414062,-93.17273712158203,-70.72399139404297,-75.54241180419922,-80.03575897216797,-83.91936492919922,-85.19165802001953,-93.9191665649414,-71.63333129882812,-76.58795928955078,-79.33059692382812,-117.80314636230469,-106.57212829589844,-113.98944854736328,-85.62277221679688,-92.2712631225586,-90.5233383178711
der direktor spricht viele verschiedene sprachen und sehen gern fernsehprogramme,-88.06156921386719,-84.40357208251953,-96.03948974609375,-72.18795013427734,-76.18347930908203,-87.84647369384766,-82.15190124511719,-83.28279876708984,-96.73973083496094,-71.88720703125,-77.71208190917969,-86.77462005615234,-116.4656753540039,-104.3379898071289,-112.2927474975586,-91.45146179199219,-102.6591796875,-93.58268737792969
der direktor spricht viele verschiedene sprachen und ist zwanzig jahre alt,-72.9365005493164,-72.39989471435547,-81.8042984008789,-65.47889709472656,-60.515018463134766,-70.86115264892578,-72.01815795898438,-79.98128509521484,-95.5432357788086,-69.05117797851562,-63.61254119873047,-69.8475341796875,-83.32674407958984,-76.42949676513672,-76.31724548339844,-60.92183303833008,-70.9937973022461,-70.34528350830078
der direktor spricht viele verschiedene sprachen und sind zwanzig jahre alt,-73.18144226074219,-73.62101745605469,-82.65892028808594,-69.82614135742188,-64.54937744140625,-70.84391021728516,-73.93579864501953,-77.79878997802734,-94.30667877197266,-73.05872344970703,-67.1595230102539,-71.16468048095703,-81.95098876953125,-74.61109161376953,-73.74578094482422,-60.15141677856445,-69.13325500488281,-69.56929016113281
der direktor spricht viele verschiedene sprachen und mag lieber tennis mit seinen kollegen spielen,-103.1476821899414,-100.5960464477539,-108.32887268066406,-119.84491729736328,-116.48406219482422,-124.56430053710938,-102.05709838867188,-108.93175506591797,-115.43971252441406,-126.78471374511719,-123.32791137695312,-129.13623046875,-137.57867431640625,-126.08495330810547,-128.08607482910156,-109.18870544433594,-119.63801574707031,-117.09060668945312
der direktor spricht viele verschiedene sprachen und mögen lieber tennis mit seinen kollegen spielen,-100.5169448852539,-103.44341278076172,-111.829345703125,-119.0528564453125,-112.93431854248047,-120.40803527832031,-100.70362854003906,-115.1858139038086,-118.28138732910156,-122.67153930664062,-118.14179229736328,-121.93484497070312,-142.82618713378906,-129.96820068359375,-134.34022521972656,-107.80705261230469,-117.43095397949219,-116.59698486328125
der direktor spricht viele verschiedene sprachen und schreibt jeden tag in seinem journal,-111.49557495117188,-108.5794677734375,-124.37263488769531,-83.67448425292969,-82.9466552734375,-89.11325073242188,-107.91957092285156,-112.14893341064453,-129.6361083984375,-84.33988189697266,-84.04945373535156,-88.02887725830078,-126.34790802001953,-117.22578430175781,-114.10787963867188,-69.41778564453125,-76.36196899414062,-76.08772277832031
der direktor spricht viele verschiedene sprachen und schreiben jeden tag in seinem journal,-111.04548645019531,-110.12046813964844,-122.40290832519531,-91.383544921875,-85.78581237792969,-95.7262954711914,-108.72090911865234,-115.83214569091797,-126.01264953613281,-93.9237289428711,-89.48995971679688,-98.87334442138672,-128.81797790527344,-120.722900390625,-115.70568084716797,-74.95270538330078,-78.3984146118164,-77.56538391113281
der bauer spricht viele verschiedene sprachen und spricht viele verschiedene sprachen,-67.38607788085938,-63.47160720825195,-79.40758514404297,-73.7289810180664,-68.11595916748047,-71.56781005859375,-68.7730484008789,-69.59809875488281,-94.59451293945312,-74.78813934326172,-70.05783081054688,-69.29244995117188,-54.137393951416016,-39.8659553527832,-44.99314498901367,-72.2853775024414,-76.38848876953125,-78.68525695800781
der bauer spricht viele verschiedene sprachen und sprechen viele verschiedene sprachen,-69.47067260742188,-67.15219116210938,-81.47684478759766,-74.19702911376953,-66.37650299072266,-72.20140075683594,-69.7748031616211,-73.47801208496094,-96.56173706054688,-74.36959838867188,-68.71231842041016,-68.71512603759766,-56.78647232055664,-43.09987258911133,-45.945526123046875,-65.93875885009766,-68.84638214111328,-68.85198211669922
der bauer spricht viele verschiedene sprachen und sieht gern fernsehprogramme,-79.83293914794922,-70.75053405761719,-79.66783905029297,-75.34783172607422,-78.50753784179688,-77.84585571289062,-79.32051086425781,-74.4797134399414,-83.73895263671875,-75.98948669433594,-77.49577331542969,-76.16728210449219,-93.38087463378906,-86.69176483154297,-92.86739349365234,-85.51165771484375,-89.87588500976562,-91.77717590332031
der bauer spricht viele verschiedene sprachen und sehen gern fernsehprogramme,-81.66226959228516,-72.34732818603516,-83.8508071899414,-78.11851501464844,-78.96770477294922,-86.32234954833984,-79.29590606689453,-75.2559585571289,-86.6209716796875,-77.02128601074219,-79.23426818847656,-83.69731903076172,-92.3161849975586,-83.8782958984375,-90.06195068359375,-91.34809875488281,-100.4010238647461,-94.33263397216797
der bauer spricht viele verschiedene sprachen und ist zwanzig jahre alt,-63.59004211425781,-59.309059143066406,-69.39804077148438,-67.54904174804688,-62.442588806152344,-65.76289367675781,-66.79032135009766,-67.99081420898438,-86.47279357910156,-69.73298645019531,-62.97062683105469,-63.85887908935547,-61.974037170410156,-53.7904052734375,-52.57365417480469,-59.75035095214844,-67.44728088378906,-71.24568176269531
der bauer spricht viele verschiedene sprachen und sind zwanzig jahre alt,-63.92288589477539,-60.548377990722656,-70.30980682373047,-71.77571868896484,-66.10865783691406,-66.85114288330078,-69.07356262207031,-66.04914855957031,-85.4381103515625,-74.10784912109375,-66.50659942626953,-65.83538818359375,-59.621639251708984,-51.43135070800781,-49.567440032958984,-58.83686828613281,-65.84441375732422,-70.7456283569336
der bauer spricht viele verschiedene sprachen und mag lieber tennis mit seinen kollegen spielen,-92.38123321533203,-81.39265441894531,-93.44558715820312,-122.93212890625,-119.0488052368164,-120.34214782714844,-97.16202545166016,-93.83448791503906,-105.2971420288086,-129.86123657226562,-123.87325286865234,-124.46253967285156,-112.2228775024414,-100.73522186279297,-100.94837188720703,-107.27075958251953,-114.93014526367188,-118.55257415771484
der bauer spricht viele verschiedene sprachen und mögen lieber tennis mit seinen kollegen spielen,-91.06788635253906,-85.4099349975586,-97.1936264038086,-123.13599395751953,-115.98332214355469,-116.53784942626953,-96.67375946044922,-97.7411117553711,-106.63818359375,-125.21662902832031,-118.58650207519531,-117.61852264404297,-117.64675903320312,-103.79955291748047,-106.9217758178711,-105.08613586425781,-111.47311401367188,-117.16231536865234
der bauer spricht viele verschiedene sprachen und schreibt jeden tag in seinem journal,-103.22344207763672,-95.05021667480469,-112.64874267578125,-87.17459106445312,-86.11103057861328,-86.11622619628906,-101.02753448486328,-100.82420349121094,-121.47582244873047,-87.42049407958984,-85.91285705566406,-85.06183624267578,-94.15013122558594,-92.01423645019531,-88.3992919921875,-68.92827606201172,-71.70189666748047,-76.3077392578125
der bauer spricht viele verschiedene sprachen und schreiben jeden tag in seinem journal,-102.11344146728516,-98.20610046386719,-111.48060607910156,-94.38551330566406,-89.33470916748047,-92.82746124267578,-102.67559051513672,-105.61721801757812,-116.7075424194336,-96.03570556640625,-92.06260681152344,-94.87151336669922,-97.35425567626953,-96.57306671142578,-92.14913177490234,-74.52464294433594,-74.38736724853516,-78.20015716552734
der chirurg spricht viele verschiedene sprachen und spricht viele verschiedene sprachen,-83.94711303710938,-78.59319305419922,-99.661865234375,-68.91316223144531,-67.1976318359375,-74.4438247680664,-90.12411499023438,-88.891845703125,-116.67546844482422,-73.208740234375,-68.68942260742188,-71.38349151611328,-80.20703125,-61.62981414794922,-67.27794647216797,-64.47274780273438,-70.98351287841797,-75.44275665283203
der chirurg spricht viele verschiedene sprachen und sprechen viele verschiedene sprachen,-85.35457611083984,-81.7012710571289,-99.37744140625,-69.06126403808594,-66.17021179199219,-77.5479965209961,-90.36167907714844,-93.11367797851562,-115.70508575439453,-72.25755310058594,-68.56927490234375,-74.0503158569336,-83.5253677368164,-65.25897216796875,-70.01286315917969,-58.89357376098633,-63.73031234741211,-65.29327392578125
der chirurg spricht viele verschiedene sprachen und sieht gern fernsehprogramme,-91.55682373046875,-85.02136993408203,-95.0686264038086,-71.95785522460938,-77.11863708496094,-79.4608383178711,-95.9903793334961,-88.43952178955078,-101.9933090209961,-75.10344696044922,-76.03834533691406,-77.22296905517578,-120.4824447631836,-107.47461700439453,-114.9863052368164,-80.16317749023438,-85.54254150390625,-88.17935943603516
der chirurg spricht viele verschiedene sprachen und sehen gern fernsehprogramme,-92.95726013183594,-87.06976318359375,-98.93537902832031,-75.69843292236328,-78.36565399169922,-89.95973205566406,-94.13263702392578,-88.107666015625,-107.6825942993164,-78.13394927978516,-77.77377319335938,-86.68934631347656,-120.82720184326172,-104.89657592773438,-112.84300231933594,-86.62691497802734,-96.1018295288086,-91.62403869628906
der chirurg spricht viele verschiedene sprachen und ist zwanzig jahre alt,-77.2807388305664,-73.44535827636719,-85.84843444824219,-65.02326202392578,-64.02791595458984,-68.7001724243164,-87.36517333984375,-85.08624267578125,-106.62174224853516,-70.6240463256836,-64.6300277709961,-65.45954132080078,-85.52507781982422,-76.14033508300781,-75.60711669921875,-53.21551513671875,-62.97199630737305,-66.45629119873047
der chirurg spricht viele verschiedene sprachen und sind zwanzig jahre alt,-78.59890747070312,-75.38414764404297,-86.904541015625,-69.41259002685547,-66.5306167602539,-70.49798583984375,-88.72833251953125,-84.57209777832031,-104.69135284423828,-74.56877136230469,-66.77552795410156,-69.23420715332031,-84.28826904296875,-74.02310180664062,-73.43370056152344,-52.11896896362305,-61.7130126953125,-66.24179077148438
der chirurg spricht viele verschiedene sprachen und mag lieber tennis mit seinen kollegen spielen,-107.6087646484375,-98.64854431152344,-111.55343627929688,-122.50108337402344,-120.81777954101562,-123.90040588378906,-114.91077423095703,-111.72065734863281,-129.77322387695312,-132.3672637939453,-126.82106018066406,-127.95731353759766,-144.314453125,-124.6668472290039,-127.71714782714844,-102.63713073730469,-112.90615844726562,-113.80348205566406
der chirurg spricht viele verschiedene sprachen und mögen lieber tennis mit seinen kollegen spielen,-108.05170440673828,-102.27721405029297,-115.20189666748047,-120.38408660888672,-118.64576721191406,-119.2066650390625,-116.438232421875,-117.53308868408203,-128.4287567138672,-126.3974380493164,-122.9443130493164,-120.947998046875,-148.3430633544922,-127.87646484375,-133.53933715820312,-99.66140747070312,-109.48739624023438,-112.41487884521484
der chirurg spricht viele verschiedene sprachen und schreibt jeden tag in seinem journal,-115.31398010253906,-109.20323944091797,-128.72323608398438,-85.55135345458984,-84.15347290039062,-90.07482147216797,-119.99742889404297,-118.83409118652344,-136.03207397460938,-89.20230102539062,-83.49052429199219,-88.48908233642578,-122.32076263427734,-115.07493591308594,-111.75511169433594,-62.029266357421875,-68.59510803222656,-72.76717376708984
der chirurg spricht viele verschiedene sprachen und schreiben jeden tag in seinem journal,-116.35678100585938,-111.94061279296875,-127.92058563232422,-93.58979797363281,-87.80421447753906,-97.98426818847656,-122.24689483642578,-122.46794891357422,-133.02981567382812,-98.11417388916016,-89.76272583007812,-100.14459228515625,-126.00596618652344,-119.44216918945312,-114.88886260986328,-68.36318969726562,-72.3541488647461,-74.93634796142578
der senator spricht viele verschiedene sprachen und spricht viele verschiedene sprachen,-88.7939453125,-81.2210693359375,-99.83080291748047,-67.96575927734375,-65.0110855102539,-73.53199768066406,-99.3111801147461,-89.75955200195312,-119.78514099121094,-68.51806640625,-65.9417724609375,-72.41178131103516,-84.17068481445312,-65.01354217529297,-69.28244018554688,-72.59332275390625,-76.1286392211914,-77.05302429199219
der senator spricht viele verschiedene sprachen und sprechen viele verschiedene sprachen,-90.95967102050781,-85.4090805053711,-100.25676727294922,-68.82972717285156,-63.4012565612793,-75.02980041503906,-99.55433654785156,-95.20895385742188,-119.51837921142578,-68.71562194824219,-64.17711639404297,-72.40792846679688,-85.80897521972656,-66.5866928100586,-68.5835189819336,-66.7343978881836,-68.60774993896484,-67.18806457519531
der senator spricht viele verschiedene sprachen und sieht gern fernsehprogramme,-93.61360168457031,-89.50934600830078,-97.603515625,-71.27368927001953,-76.41062927246094,-80.09983825683594,-104.82134246826172,-94.4532241821289,-107.57573699951172,-72.2224349975586,-75.7851333618164,-79.31554412841797,-120.42864990234375,-107.07817840576172,-114.91616821289062,-85.00558471679688,-89.75305938720703,-89.54481506347656
der senator spricht viele verschiedene sprachen und sehen gern fernsehprogramme,-95.4103012084961,-91.16142272949219,-100.64128875732422,-73.65898132324219,-77.3079605102539,-88.44932556152344,-101.52162170410156,-93.65499877929688,-111.97307586669922,-73.42768859863281,-77.06098937988281,-86.59736633300781,-119.17066955566406,-104.08505249023438,-111.93070220947266,-90.69900512695312,-100.05439758300781,-92.202880859375
der senator spricht viele verschiedene sprachen und ist zwanzig jahre alt,-79.75926208496094,-75.63240051269531,-86.8353042602539,-65.79623413085938,-62.127559661865234,-70.92393493652344,-91.01526641845703,-88.07872009277344,-108.75012969970703,-69.0607681274414,-63.17035675048828,-71.00303649902344,-85.39404296875,-74.40763854980469,-74.77568817138672,-60.56051254272461,-67.63241577148438,-70.518798828125
der senator spricht viele verschiedene sprachen und sind zwanzig jahre alt,-80.91275024414062,-77.98313903808594,-87.2176284790039,-70.54576110839844,-65.78732299804688,-72.48399353027344,-93.71305084228516,-87.73667907714844,-106.58702087402344,-73.13552856445312,-66.47921752929688,-73.1781005859375,-83.46156311035156,-72.09114837646484,-71.4656982421875,-59.72330093383789,-65.82904815673828,-69.56883239746094
der senator spricht viele verschiedene sprachen und mag lieber tennis mit seinen kollegen spielen,-116.49679565429688,-103.80386352539062,-113.31033325195312,-120.41580200195312,-117.71195220947266,-125.42413330078125,-130.41920471191406,-116.15348052978516,-131.51242065429688,-126.04560852050781,-122.48878479003906,-129.61158752441406,-141.45654296875,-123.80870056152344,-123.51272583007812,-107.63339233398438,-115.69097137451172,-116.50635528564453
der senator spricht viele verschiedene sprachen und mögen lieber tennis mit seinen kollegen spielen,-113.91424560546875,-107.47199249267578,-115.3228530883789,-120.32435607910156,-114.02763366699219,-121.67613220214844,-128.1449737548828,-121.55191040039062,-128.7327423095703,-122.64256286621094,-117.31865692138672,-123.05476379394531,-145.83880615234375,-126.67845916748047,-129.40345764160156,-106.13645935058594,-112.74363708496094,-115.42513275146484
der senator spricht viele verschiedene sprachen und schreibt jeden tag in seinem journal,-117.26683807373047,-111.7222900390625,-130.33872985839844,-85.49380493164062,-83.23731231689453,-89.00772857666016,-127.57324981689453,-118.94686889648438,-143.3248291015625,-85.9543228149414,-81.62358093261719,-87.49639892578125,-119.73800659179688,-114.77031707763672,-108.11177062988281,-68.64100646972656,-72.0503158569336,-74.39315032958984
der senator spricht viele verschiedene sprachen und schreiben jeden tag in seinem journal,-118.04226684570312,-114.56659698486328,-128.4388427734375,-93.32893371582031,-86.10365295410156,-96.17793273925781,-128.59471130371094,-122.81840515136719,-138.19703674316406,-95.02297973632812,-87.55472564697266,-98.05870056152344,-122.74876403808594,-116.63996887207031,-108.45792388916016,-73.7741470336914,-74.17891693115234,-76.20157623291016
der lehrer spricht viele verschiedene sprachen und spricht viele verschiedene sprachen,-72.63106536865234,-64.11321258544922,-82.49790954589844,-69.37721252441406,-66.53716278076172,-69.33299255371094,-75.96929931640625,-71.03797912597656,-98.32073974609375,-71.31460571289062,-66.39061737060547,-65.60552215576172,-55.607730865478516,-42.124515533447266,-47.363136291503906,-70.51306915283203,-75.48006439208984,-76.05282592773438
der lehrer spricht viele verschiedene sprachen und sprechen viele verschiedene sprachen,-73.76653289794922,-67.33411407470703,-84.38087463378906,-68.81578826904297,-64.87006378173828,-70.49278259277344,-76.55303192138672,-76.95852661132812,-97.25968933105469,-69.92459869384766,-64.41292572021484,-65.46529388427734,-57.6357421875,-45.23066329956055,-47.32180404663086,-64.44773864746094,-68.56175994873047,-65.26126098632812
der lehrer spricht viele verschiedene sprachen und sieht gern fernsehprogramme,-84.45878601074219,-70.4632797241211,-81.72019958496094,-71.91049194335938,-76.70857238769531,-76.90447235107422,-86.32257080078125,-73.93363189697266,-87.73005676269531,-72.65167236328125,-74.3046875,-74.58309173583984,-92.14411926269531,-87.02911376953125,-91.40685272216797,-84.33590698242188,-89.59354400634766,-87.84510803222656
der lehrer spricht viele verschiedene sprachen und sehen gern fernsehprogramme,-86.13983154296875,-71.7097396850586,-85.25823974609375,-74.0142822265625,-76.8313217163086,-83.74943542480469,-83.66094970703125,-74.25555419921875,-91.24320220947266,-73.90753936767578,-74.51445770263672,-80.72018432617188,-91.42849731445312,-85.07054138183594,-88.68177032470703,-90.06749725341797,-101.34236145019531,-90.46102905273438
der lehrer spricht viele verschiedene sprachen und ist zwanzig jahre alt,-67.08654022216797,-58.80730056762695,-70.52197265625,-62.94992446899414,-60.63396072387695,-64.46045684814453,-70.45330810546875,-68.63513946533203,-89.04359436035156,-66.75111389160156,-59.321510314941406,-61.7141227722168,-62.440406799316406,-55.06147766113281,-54.862701416015625,-59.225791931152344,-66.98283386230469,-66.17433166503906
der lehrer spricht viele verschiedene sprachen und sind zwanzig jahre alt,-68.17928314208984,-59.98760986328125,-72.0201187133789,-66.74596405029297,-64.37006378173828,-65.22522735595703,-72.54096221923828,-67.07404327392578,-88.7160415649414,-70.36521911621094,-62.93877410888672,-63.61979675292969,-60.37125015258789,-52.92744445800781,-51.893836975097656,-58.140235900878906,-65.5863037109375,-65.85782623291016
der lehrer spricht viele verschiedene sprachen und mag lieber tennis mit seinen kollegen spielen,-101.40262603759766,-86.31707000732422,-97.92897033691406,-119.42740631103516,-115.11566162109375,-119.75828552246094,-109.72899627685547,-96.0500717163086,-113.28777313232422,-128.35211181640625,-118.68621826171875,-124.17805480957031,-116.23371124267578,-101.52961730957031,-103.50096893310547,-104.5731201171875,-115.41944885253906,-113.51687622070312
der lehrer spricht viele verschiedene sprachen und mögen lieber tennis mit seinen kollegen spielen,-99.86833190917969,-89.05457305908203,-101.0008544921875,-117.041748046875,-112.78829193115234,-114.92864227294922,-108.7906723022461,-100.52359771728516,-113.87033081054688,-122.03195190429688,-114.70476531982422,-115.90113830566406,-120.63023376464844,-105.33609008789062,-108.79945373535156,-102.1307373046875,-111.99321746826172,-112.19017028808594
der lehrer spricht viele verschiedene sprachen und schreibt jeden tag in seinem journal,-106.32814025878906,-94.34703063964844,-114.30022430419922,-86.1024169921875,-85.43260192871094,-85.22240447998047,-105.98033142089844,-99.26156616210938,-123.02223205566406,-87.7387924194336,-83.67499542236328,-82.82052612304688,-97.43475341796875,-94.80878448486328,-89.2508544921875,-66.86634063720703,-71.82488250732422,-71.88434600830078
der lehrer spricht viele verschiedene sprachen und schreiben jeden tag in seinem journal,-104.90869140625,-95.93309783935547,-112.84693908691406,-92.48847198486328,-88.98599243164062,-91.49166870117188,-106.35021209716797,-103.2317123413086,-118.60334777832031,-95.9443359375,-89.47338104248047,-92.6583023071289,-99.33395385742188,-98.00979614257812,-91.33563995361328,-72.22804260253906,-74.96454620361328,-73.26045227050781
der kunde spricht viele verschiedene sprachen und spricht viele verschiedene sprachen,-80.4244613647461,-74.18465423583984,-90.92097473144531,-74.99929809570312,-64.77774810791016,-72.21723937988281,-84.37696075439453,-80.08145904541016,-101.15652465820312,-75.24295043945312,-69.56659698486328,-68.49552917480469,-63.029518127441406,-50.303009033203125,-58.04397964477539,-72.7220458984375,-82.43862915039062,-84.73522186279297
der kunde spricht viele verschiedene sprachen und sprechen viele verschiedene sprachen,-83.20079803466797,-78.17864227294922,-92.69007110595703,-74.39675903320312,-62.72058868408203,-73.06293487548828,-83.6043930053711,-85.12830352783203,-102.12895965576172,-73.9453353881836,-67.46080780029297,-68.09569549560547,-65.98856353759766,-54.178565979003906,-59.522674560546875,-67.04230499267578,-76.07823181152344,-74.79959106445312
der kunde spricht viele verschiedene sprachen und sieht gern fernsehprogramme,-88.9101333618164,-78.71167755126953,-89.73722839355469,-79.16722869873047,-76.3460693359375,-79.65650177001953,-92.95533752441406,-83.47003173828125,-90.20275115966797,-79.7599868774414,-78.45746612548828,-77.18466186523438,-103.63581848144531,-95.99495697021484,-103.598876953125,-86.91094970703125,-97.88347625732422,-98.17051696777344
der kunde spricht viele verschiedene sprachen und sehen gern fernsehprogramme,-91.41301727294922,-79.89596557617188,-93.96268463134766,-80.91194915771484,-77.07655334472656,-88.18018341064453,-89.46934509277344,-82.3851089477539,-94.56087493896484,-79.95580291748047,-79.4808349609375,-84.54267883300781,-102.38223266601562,-93.01615142822266,-101.09065246582031,-92.77937316894531,-108.4521713256836,-100.31587219238281
der kunde spricht viele verschiedene sprachen und ist zwanzig jahre alt,-73.35037994384766,-67.71842956542969,-79.12008666992188,-72.09492492675781,-61.01520538330078,-69.46199035644531,-78.33155059814453,-77.82262420654297,-93.61946105957031,-74.36444091796875,-64.72572326660156,-66.52877807617188,-69.91394805908203,-63.23356246948242,-62.42793655395508,-61.3272705078125,-74.6497802734375,-77.33428955078125
der kunde spricht viele verschiedene sprachen und sind zwanzig jahre alt,-75.37885284423828,-69.56429290771484,-80.2402572631836,-75.4104232788086,-64.07661437988281,-70.21891021728516,-80.8088607788086,-76.42984771728516,-93.24800109863281,-77.2354736328125,-67.32969665527344,-68.08794403076172,-68.98275756835938,-61.95201873779297,-60.70745849609375,-60.42405319213867,-73.31352233886719,-77.20567321777344
der kunde spricht viele verschiedene sprachen und mag lieber tennis mit seinen kollegen spielen,-106.08065795898438,-94.67728424072266,-104.13481903076172,-126.88839721679688,-119.66529846191406,-122.66088104248047,-113.02184295654297,-103.75010681152344,-114.8173828125,-132.18930053710938,-128.00363159179688,-125.31562042236328,-120.65083312988281,-111.60627746582031,-114.47464752197266,-109.05680084228516,-124.75016784667969,-123.54374694824219
der kunde spricht viele verschiedene sprachen und mögen lieber tennis mit seinen kollegen spielen,-104.96593475341797,-98.37224578857422,-107.66004180908203,-126.23274230957031,-115.58175659179688,-118.78050231933594,-111.93754577636719,-109.88319396972656,-117.501220703125,-127.95689392089844,-122.18608093261719,-118.21697235107422,-125.85145568847656,-114.91795349121094,-119.77313995361328,-107.4301986694336,-120.835205078125,-123.21244812011719
