sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13,fr_childes_convergence_clm_42,fr_childes_convergence_clm_30,fr_childes_convergence_clm_13,fr_wikipedia_convergence_clm_42,fr_wikipedia_convergence_clm_30,fr_wikipedia_convergence_clm_13,fr_wikipedia_best_mlm_42,fr_wikipedia_best_mlm_30,fr_wikipedia_best_mlm_13,fr_childes_best_mlm_42,fr_childes_best_mlm_30,fr_childes_best_mlm_13
le directeur connaît beaucoup de langues étrangères et connaît beaucoup de langues étrangères,-94.12646484375,-108.67179870605469,-104.69090270996094,-225.2393341064453,-209.00730895996094,-198.2460174560547,-118.52700805664062,-139.4920654296875,-127.5812759399414,-252.48760986328125,-235.5120849609375,-247.21685791015625,-286.8584289550781,-273.30450439453125,-278.4532165527344,-115.687744140625,-103.52263641357422,-76.6533203125
le directeur connaît beaucoup de langues étrangères et connaissent beaucoup de langues étrangères,-93.12800598144531,-109.55209350585938,-108.08416748046875,-201.7818603515625,-188.0357666015625,-185.82830810546875,-120.3275146484375,-148.87796020507812,-132.34384155273438,-236.7373046875,-222.4443359375,-230.29827880859375,-241.12449645996094,-230.37774658203125,-237.28330993652344,-108.6651840209961,-109.810302734375,-84.89791107177734
le directeur connaît beaucoup de langues étrangères et aime regarder des émissions de télévision,-100.30911254882812,-109.6769027709961,-101.49082946777344,-223.50485229492188,-239.46319580078125,-223.63877868652344,-119.67189025878906,-141.87652587890625,-126.68485260009766,-251.82115173339844,-281.6565246582031,-257.231201171875,-273.94415283203125,-267.12353515625,-276.06439208984375,-163.7215576171875,-150.23785400390625,-113.6874771118164
le directeur connaît beaucoup de langues étrangères et aiment regarder des émissions de télévision,-100.96278381347656,-110.12030792236328,-102.4006118774414,-227.43292236328125,-239.39382934570312,-227.40232849121094,-118.80374145507812,-137.40936279296875,-131.92213439941406,-256.763671875,-280.80517578125,-270.8209228515625,-281.76055908203125,-272.86016845703125,-283.1248779296875,-161.00942993164062,-149.3999481201172,-114.08798217773438
le directeur connaît beaucoup de langues étrangères et a vingt trois ans,-81.81700897216797,-90.67202758789062,-86.86421966552734,-150.55032348632812,-139.12110900878906,-139.28286743164062,-112.74078369140625,-122.6042251586914,-113.91993713378906,-170.77378845214844,-158.78431701660156,-169.468994140625,-173.36209106445312,-165.7615966796875,-165.57440185546875,-117.58840942382812,-106.31502532958984,-80.8447494506836
le directeur connaît beaucoup de langues étrangères et ont vingt trois ans,-84.11070251464844,-92.16787719726562,-90.90072631835938,-153.0349884033203,-143.1579132080078,-140.32077026367188,-108.19110107421875,-125.8069839477539,-117.29295349121094,-173.77293395996094,-162.9479522705078,-171.01373291015625,-178.59063720703125,-169.18038940429688,-171.21743774414062,-120.89559173583984,-114.19515228271484,-86.57425689697266
le directeur connaît beaucoup de langues étrangères et préfère jouer au tennis avec des collègues,-96.24362182617188,-101.76325988769531,-104.9247817993164,-229.70155334472656,-223.21067810058594,-220.2189178466797,-130.53982543945312,-148.13424682617188,-140.02687072753906,-266.94110107421875,-253.15074157714844,-271.6518249511719,-276.6878967285156,-274.9222412109375,-280.1407165527344,-145.29869079589844,-134.81494140625,-97.05778503417969
le directeur connaît beaucoup de langues étrangères et préfèrent jouer au tennis avec des collègues,-98.289794921875,-106.31613159179688,-104.18265533447266,-229.6912384033203,-225.51727294921875,-216.3755340576172,-124.99910736083984,-151.8739013671875,-143.38491821289062,-268.31109619140625,-253.0839385986328,-266.606689453125,-274.706787109375,-271.2851867675781,-276.0182800292969,-154.11715698242188,-149.50198364257812,-103.1072006225586
le directeur connaît beaucoup de langues étrangères et écrit dans un journal tous les jours,-103.70081329345703,-109.49855041503906,-109.27751159667969,-168.39981079101562,-161.11923217773438,-150.299072265625,-139.35305786132812,-147.02401733398438,-141.21641540527344,-184.0501251220703,-180.59014892578125,-184.57315063476562,-196.18377685546875,-192.00250244140625,-195.57020568847656,-138.96224975585938,-122.3222427368164,-97.228271484375
le directeur connaît beaucoup de langues étrangères et écrivent dans un journal tous les jours,-103.17525482177734,-107.76543426513672,-113.14176177978516,-172.17396545410156,-165.4864959716797,-149.98301696777344,-141.02645874023438,-142.38194274902344,-145.36233520507812,-187.85354614257812,-183.4422607421875,-179.74269104003906,-198.819580078125,-192.67214965820312,-200.07127380371094,-145.30369567871094,-140.21347045898438,-105.5788345336914
l' agriculteur connaît beaucoup de langues étrangères et connaît beaucoup de langues étrangères,-101.42090606689453,-113.3148422241211,-112.78385925292969,-216.2899932861328,-209.4016876220703,-202.05722045898438,-151.0952606201172,-147.42381286621094,-161.4821014404297,-236.12965393066406,-238.29856872558594,-249.19497680664062,-301.36285400390625,-283.57159423828125,-287.7804870605469,-145.76950073242188,-139.00575256347656,-100.82904052734375
l' agriculteur connaît beaucoup de langues étrangères et connaissent beaucoup de langues étrangères,-103.96602630615234,-112.93639373779297,-113.67166137695312,-193.94473266601562,-186.20550537109375,-188.88059997558594,-158.72769165039062,-157.8667449951172,-162.27801513671875,-217.7025909423828,-222.3643035888672,-225.580810546875,-255.031494140625,-242.20376586914062,-243.823974609375,-140.94029235839844,-142.18630981445312,-107.61480712890625
l' agriculteur connaît beaucoup de langues étrangères et aime regarder des émissions de télévision,-108.51823425292969,-112.54444122314453,-109.07013702392578,-215.44918823242188,-237.96115112304688,-229.47935485839844,-145.70103454589844,-148.34507751464844,-158.1350555419922,-239.40249633789062,-277.4949951171875,-261.04296875,-283.1225891113281,-278.2065734863281,-286.78912353515625,-188.60372924804688,-182.50375366210938,-138.92355346679688
l' agriculteur connaît beaucoup de langues étrangères et aiment regarder des émissions de télévision,-109.33753204345703,-112.8315200805664,-109.44330596923828,-223.70355224609375,-240.51321411132812,-233.95111083984375,-148.04649353027344,-148.9091339111328,-159.68853759765625,-250.49227905273438,-281.1748046875,-271.4649353027344,-292.7024230957031,-283.9425964355469,-292.7406311035156,-184.38816833496094,-182.44776916503906,-139.2873077392578
l' agriculteur connaît beaucoup de langues étrangères et a vingt trois ans,-90.63063049316406,-95.94063568115234,-96.16051483154297,-146.02496337890625,-141.55563354492188,-144.21524047851562,-131.28887939453125,-125.96029663085938,-143.4822540283203,-160.39361572265625,-164.12901306152344,-166.2721405029297,-187.74017333984375,-179.78463745117188,-179.3561248779297,-142.11236572265625,-145.43231201171875,-105.35459899902344
l' agriculteur connaît beaucoup de langues étrangères et ont vingt trois ans,-91.77426147460938,-97.32677459716797,-99.80339813232422,-146.83575439453125,-143.46661376953125,-144.16847229003906,-131.8985137939453,-133.11370849609375,-148.56414794921875,-159.21261596679688,-166.91432189941406,-168.07583618164062,-191.7986297607422,-183.07533264160156,-182.86477661132812,-144.630859375,-151.71743774414062,-112.07603454589844
l' agriculteur connaît beaucoup de langues étrangères et préfère jouer au tennis avec des collègues,-103.330078125,-106.27045440673828,-110.60613250732422,-221.2565155029297,-222.08131408691406,-223.6145477294922,-153.46397399902344,-146.79928588867188,-166.2880401611328,-248.91659545898438,-252.83448791503906,-271.21630859375,-288.3211364746094,-287.19488525390625,-290.9189147949219,-171.68515014648438,-172.1916046142578,-125.85979461669922
l' agriculteur connaît beaucoup de langues étrangères et préfèrent jouer au tennis avec des collègues,-105.77778625488281,-110.982666015625,-110.04621887207031,-223.13636779785156,-224.4315948486328,-220.39276123046875,-149.82760620117188,-161.50482177734375,-171.22787475585938,-252.0314483642578,-252.52027893066406,-266.0852966308594,-286.4105529785156,-284.19171142578125,-286.3150634765625,-184.5550994873047,-186.06195068359375,-129.71438598632812
l' agriculteur connaît beaucoup de langues étrangères et écrit dans un journal tous les jours,-109.7283706665039,-112.22220611572266,-115.3505859375,-163.67333984375,-162.14031982421875,-155.93954467773438,-161.67544555664062,-152.58616638183594,-159.8238067626953,-176.90687561035156,-182.94969177246094,-185.8787078857422,-209.69415283203125,-204.4509735107422,-209.1914825439453,-158.63905334472656,-155.40802001953125,-113.64031982421875
l' agriculteur connaît beaucoup de langues étrangères et écrivent dans un journal tous les jours,-108.30106353759766,-111.9623794555664,-119.18897247314453,-168.67880249023438,-167.32615661621094,-154.89588928222656,-162.48753356933594,-156.7053680419922,-163.9872589111328,-182.36737060546875,-188.12295532226562,-182.2821044921875,-212.24099731445312,-205.33409118652344,-213.21412658691406,-167.75469970703125,-172.31649780273438,-125.47467041015625
le chirurgien connaît beaucoup de langues étrangères et connaît beaucoup de langues étrangères,-110.96951293945312,-111.5959701538086,-109.00983428955078,-215.12738037109375,-198.61282348632812,-197.68199157714844,-135.6950225830078,-133.84690856933594,-131.83795166015625,-248.5242919921875,-214.8419952392578,-236.29612731933594,-287.6000671386719,-272.6727294921875,-274.62335205078125,-132.18919372558594,-118.82427978515625,-89.1268081665039
le chirurgien connaît beaucoup de langues étrangères et connaissent beaucoup de langues étrangères,-112.97332763671875,-111.6581802368164,-110.13642120361328,-193.50390625,-176.91384887695312,-185.81187438964844,-138.7544708251953,-141.6055145263672,-132.99461364746094,-228.2296142578125,-203.7432403564453,-215.99078369140625,-241.11087036132812,-231.7082977294922,-230.0557403564453,-128.98666381835938,-121.07157897949219,-95.04882049560547
le chirurgien connaît beaucoup de langues étrangères et aime regarder des émissions de télévision,-116.43467712402344,-111.54241180419922,-105.81610107421875,-212.4695587158203,-228.88775634765625,-224.7675323486328,-140.17233276367188,-140.004638671875,-126.24591064453125,-246.72906494140625,-260.3824462890625,-247.1739044189453,-272.04449462890625,-268.70001220703125,-274.26141357421875,-180.31658935546875,-163.70896911621094,-130.54083251953125
le chirurgien connaît beaucoup de langues étrangères et aiment regarder des émissions de télévision,-116.84479522705078,-111.72396850585938,-106.32553100585938,-219.13389587402344,-228.6858367919922,-229.47373962402344,-136.80133056640625,-137.64913940429688,-130.48760986328125,-255.95001220703125,-257.55975341796875,-261.09149169921875,-279.05523681640625,-274.8405456542969,-280.2874450683594,-177.04766845703125,-163.19354248046875,-131.1042022705078
le chirurgien connaît beaucoup de langues étrangères et a vingt trois ans,-99.44481658935547,-95.12373352050781,-92.3641128540039,-142.145263671875,-130.16629028320312,-140.007080078125,-127.6875,-121.41679382324219,-114.86930847167969,-166.20921325683594,-144.77650451660156,-158.50497436523438,-174.2444610595703,-169.83583068847656,-164.68939208984375,-129.9999237060547,-121.418701171875,-95.8857650756836
le chirurgien connaît beaucoup de langues étrangères et ont vingt trois ans,-100.61300659179688,-95.76775360107422,-95.52557373046875,-144.32974243164062,-133.4931640625,-140.07220458984375,-123.22157287597656,-122.11177062988281,-116.26107788085938,-165.39959716796875,-146.0062713623047,-158.73287963867188,-178.18614196777344,-172.24462890625,-167.83534240722656,-133.56809997558594,-128.37608337402344,-102.7726821899414
le chirurgien connaît beaucoup de langues étrangères et préfère jouer au tennis avec des collègues,-114.27297973632812,-105.16704559326172,-107.5732192993164,-218.9552764892578,-211.74888610839844,-218.4213409423828,-140.94801330566406,-138.0857696533203,-135.63949584960938,-258.2892150878906,-235.4597930908203,-258.06951904296875,-276.6099548339844,-278.1402893066406,-280.32501220703125,-162.49545288085938,-145.72352600097656,-109.4200668334961
le chirurgien connaît beaucoup de langues étrangères et préfèrent jouer au tennis avec des collègues,-115.28887939453125,-107.50872802734375,-106.017822265625,-220.60595703125,-214.368896484375,-216.0719451904297,-136.76321411132812,-145.60023498535156,-141.8107147216797,-261.2582702636719,-236.89913940429688,-253.983154296875,-274.6604919433594,-274.8565368652344,-275.6241455078125,-174.49008178710938,-157.9335479736328,-111.965576171875
le chirurgien connaît beaucoup de langues étrangères et écrit dans un journal tous les jours,-119.16895294189453,-110.92156219482422,-110.51089477539062,-159.76663208007812,-152.74075317382812,-150.20755004882812,-151.2510223388672,-137.41168212890625,-130.55038452148438,-180.00462341308594,-163.87461853027344,-172.3651123046875,-196.24803161621094,-194.4744415283203,-195.0343017578125,-155.22267150878906,-132.97726440429688,-108.15300750732422
le chirurgien connaît beaucoup de langues étrangères et écrivent dans un journal tous les jours,-116.40790557861328,-108.47700500488281,-115.4439697265625,-165.4850311279297,-156.7951202392578,-149.25485229492188,-151.0078582763672,-141.13600158691406,-136.18414306640625,-185.64906311035156,-167.1857452392578,-166.91282653808594,-199.02650451660156,-195.59068298339844,-199.00662231445312,-161.50950622558594,-148.6536865234375,-117.90486145019531
le sénateur connaît beaucoup de langues étrangères et connaît beaucoup de langues étrangères,-101.86153411865234,-116.94408416748047,-111.1076431274414,-237.70899963378906,-234.6974639892578,-213.78504943847656,-142.33050537109375,-164.9220428466797,-140.29295349121094,-278.00830078125,-257.96380615234375,-269.694580078125,-315.98162841796875,-300.8790283203125,-303.5579528808594,-124.3824691772461,-121.6964111328125,-84.680419921875
le sénateur connaît beaucoup de langues étrangères et connaissent beaucoup de langues étrangères,-103.13726806640625,-117.78248596191406,-111.39197540283203,-215.51966857910156,-211.9656524658203,-200.7574005126953,-146.4840087890625,-173.43519592285156,-146.94815063476562,-265.1331787109375,-248.06968688964844,-248.4683837890625,-268.5766906738281,-259.8983154296875,-259.0635986328125,-118.42880249023438,-124.35252380371094,-97.4452896118164
le sénateur connaît beaucoup de langues étrangères et aime regarder des émissions de télévision,-107.17033386230469,-116.75466918945312,-105.68822479248047,-234.3983917236328,-264.1004638671875,-237.6802215576172,-149.63546752929688,-163.2487030029297,-140.4145965576172,-279.92205810546875,-307.4329833984375,-280.24786376953125,-299.32635498046875,-293.8662109375,-303.14666748046875,-176.9302978515625,-165.64646911621094,-126.1837387084961
le sénateur connaît beaucoup de langues étrangères et aiment regarder des émissions de télévision,-107.46018981933594,-116.41082000732422,-106.33798217773438,-240.26535034179688,-263.85748291015625,-241.12741088867188,-147.2341766357422,-159.93182373046875,-144.67481994628906,-288.2774963378906,-307.53021240234375,-290.44757080078125,-306.31683349609375,-300.209716796875,-309.7060546875,-172.95159912109375,-165.26895141601562,-127.0811767578125
le sénateur connaît beaucoup de langues étrangères et a vingt trois ans,-88.7614517211914,-100.07110595703125,-92.33494567871094,-163.9069061279297,-165.2278289794922,-156.51791381835938,-133.74594116210938,-142.96803283691406,-126.35704803466797,-198.3518829345703,-185.14541625976562,-192.81112670898438,-202.12637329101562,-196.795166015625,-194.66455078125,-124.86373138427734,-120.33628845214844,-88.27803039550781
le sénateur connaît beaucoup de langues étrangères et ont vingt trois ans,-91.01216888427734,-101.08946990966797,-95.46170043945312,-166.08840942382812,-167.98275756835938,-157.0196990966797,-130.08792114257812,-147.8300018310547,-130.93504333496094,-201.7310791015625,-188.07513427734375,-193.96240234375,-205.89918518066406,-199.99111938476562,-199.2470703125,-128.66567993164062,-128.65945434570312,-94.80624389648438
le sénateur connaît beaucoup de langues étrangères et préfère jouer au tennis avec des collègues,-104.54753112792969,-110.50328826904297,-109.61760711669922,-239.24853515625,-250.36322021484375,-234.12078857421875,-154.71046447753906,-168.09165954589844,-151.969970703125,-291.5254211425781,-281.0876770019531,-293.07305908203125,-302.3453674316406,-303.565185546875,-307.36639404296875,-151.65008544921875,-148.4514617919922,-110.10166931152344
le sénateur connaît beaucoup de langues étrangères et préfèrent jouer au tennis avec des collègues,-106.20204162597656,-113.15872192382812,-106.1379165649414,-240.1141815185547,-253.42135620117188,-231.29806518554688,-149.1522674560547,-173.38087463378906,-154.01136779785156,-291.9668273925781,-281.9761047363281,-289.80224609375,-299.890625,-300.4402160644531,-302.3262939453125,-163.705322265625,-162.46649169921875,-110.67536163330078
le sénateur connaît beaucoup de langues étrangères et écrit dans un journal tous les jours,-110.26285552978516,-116.0992660522461,-113.98043823242188,-181.21368408203125,-186.1237030029297,-166.53436279296875,-164.14573669433594,-168.75572204589844,-151.43467712402344,-211.98452758789062,-206.91314697265625,-208.84547424316406,-223.5645294189453,-222.79696655273438,-224.942138671875,-149.77809143066406,-138.8762969970703,-106.70635223388672
le sénateur connaît beaucoup de langues étrangères et écrivent dans un journal tous les jours,-109.15353393554688,-114.21676635742188,-118.45040893554688,-185.60617065429688,-191.26364135742188,-165.91851806640625,-161.5198974609375,-168.89736938476562,-156.0728302001953,-218.13511657714844,-211.38400268554688,-203.41578674316406,-226.63702392578125,-224.7693634033203,-229.23220825195312,-156.59788513183594,-153.22711181640625,-118.36903381347656
le professeur connaît beaucoup de langues étrangères et connaît beaucoup de langues étrangères,-98.49076843261719,-108.44052124023438,-109.57628631591797,-212.37319946289062,-206.86842346191406,-190.2578582763672,-112.82553100585938,-142.2024688720703,-134.8748321533203,-243.92852783203125,-231.816650390625,-242.04054260253906,-280.0020446777344,-264.9203186035156,-272.8763122558594,-125.8168716430664,-113.22590637207031,-84.25630950927734
le professeur connaît beaucoup de langues étrangères et connaissent beaucoup de langues étrangères,-99.3515396118164,-109.02355194091797,-109.67649841308594,-189.163330078125,-186.27532958984375,-178.98983764648438,-116.26326751708984,-148.46571350097656,-139.79505920410156,-228.7105712890625,-218.024169921875,-224.44798278808594,-234.70849609375,-222.0830535888672,-231.62261962890625,-117.86096954345703,-115.98995208740234,-99.2631607055664
le professeur connaît beaucoup de langues étrangères et aime regarder des émissions de télévision,-104.3044204711914,-109.26399230957031,-103.8088607788086,-210.68209838867188,-237.58258056640625,-215.46133422851562,-113.37740325927734,-138.6634979248047,-132.00393676757812,-244.12234497070312,-276.07928466796875,-249.66883850097656,-267.8025817871094,-259.15777587890625,-270.9132080078125,-177.10060119628906,-155.5319366455078,-127.24262237548828
le professeur connaît beaucoup de langues étrangères et aiment regarder des émissions de télévision,-104.6779556274414,-109.68585205078125,-103.97108459472656,-215.69747924804688,-237.90391540527344,-219.61614990234375,-112.94062805175781,-137.064697265625,-134.96632385253906,-249.68978881835938,-279.84033203125,-263.68682861328125,-275.5191650390625,-264.8460998535156,-278.68829345703125,-173.49246215820312,-154.89501953125,-127.75113677978516
le professeur connaît beaucoup de langues étrangères et a vingt trois ans,-86.84281921386719,-90.71307373046875,-91.59468841552734,-139.30233764648438,-135.89642333984375,-133.0487823486328,-110.6424789428711,-124.01683044433594,-121.99588012695312,-162.66561889648438,-157.24551391601562,-163.6355438232422,-165.98623657226562,-157.77529907226562,-160.71365356445312,-125.60025024414062,-109.98950958251953,-88.44078063964844
le professeur connaît beaucoup de langues étrangères et ont vingt trois ans,-88.50250244140625,-91.74818420410156,-94.27391815185547,-141.50851440429688,-140.710205078125,-134.1643829345703,-105.20886993408203,-126.447998046875,-122.91780853271484,-165.18344116210938,-160.88717651367188,-166.39332580566406,-171.1829833984375,-160.9063720703125,-166.49591064453125,-129.01512145996094,-117.70442199707031,-93.86111450195312
le professeur connaît beaucoup de langues étrangères et préfère jouer au tennis avec des collègues,-101.41453552246094,-101.9918212890625,-108.08209228515625,-216.01766967773438,-222.23095703125,-213.3740692138672,-122.92178344726562,-143.43699645996094,-142.78076171875,-255.73316955566406,-249.4921112060547,-267.5707702636719,-269.83563232421875,-267.21881103515625,-274.58868408203125,-154.77786254882812,-141.41822814941406,-109.23860168457031
le professeur connaît beaucoup de langues étrangères et préfèrent jouer au tennis avec des collègues,-101.86741638183594,-105.57796478271484,-104.76226043701172,-216.4497528076172,-224.03408813476562,-209.742919921875,-122.9661636352539,-147.91500854492188,-144.20164489746094,-258.0890808105469,-250.32936096191406,-263.2198486328125,-267.8157043457031,-264.0037841796875,-270.51361083984375,-167.26998901367188,-156.8915252685547,-108.62303161621094
le professeur connaît beaucoup de langues étrangères et écrit dans un journal tous les jours,-106.3154296875,-107.74040985107422,-111.51213836669922,-156.1811981201172,-159.27406311035156,-143.80755615234375,-132.81915283203125,-146.75621032714844,-141.45278930664062,-175.54824829101562,-178.830810546875,-179.4941864013672,-190.02587890625,-184.2700653076172,-191.2922821044922,-149.70437622070312,-131.5498809814453,-105.42330932617188
le professeur connaît beaucoup de langues étrangères et écrivent dans un journal tous les jours,-105.4971694946289,-105.22734069824219,-115.49543762207031,-160.21434020996094,-162.727294921875,-143.49400329589844,-133.4568634033203,-145.8395538330078,-146.9225616455078,-179.89125061035156,-182.0576934814453,-175.0789031982422,-192.69561767578125,-185.2724151611328,-196.05667114257812,-156.599853515625,-146.1511688232422,-115.39944458007812
le client connaît beaucoup de langues étrangères et connaît beaucoup de langues étrangères,-96.6502685546875,-111.7481918334961,-101.79169464111328,-230.89285278320312,-209.4790496826172,-198.73013305664062,-117.80043029785156,-147.06317138671875,-124.63338470458984,-263.0579528808594,-234.41476440429688,-254.56210327148438,-291.8783264160156,-277.1265869140625,-276.7010803222656,-114.63951110839844,-108.73416137695312,-92.40348815917969
le client connaît beaucoup de langues étrangères et connaissent beaucoup de langues étrangères,-95.22084045410156,-112.2901611328125,-105.02435302734375,-207.13917541503906,-187.0624542236328,-186.13148498535156,-121.03575897216797,-155.10751342773438,-132.3525848388672,-249.65536499023438,-221.30714416503906,-233.9549560546875,-245.25909423828125,-234.67642211914062,-232.78330993652344,-105.68321990966797,-108.01838684082031,-97.1117172241211
le client connaît beaucoup de langues étrangères et aime regarder des émissions de télévision,-101.5350112915039,-111.41909790039062,-98.10467529296875,-228.5758514404297,-240.84104919433594,-223.13046264648438,-116.1692886352539,-142.376220703125,-123.51577758789062,-264.4117431640625,-282.0600280761719,-264.0373840332031,-277.103759765625,-271.5423889160156,-276.2894592285156,-164.82875061035156,-155.26522827148438,-128.60336303710938
le client connaît beaucoup de langues étrangères et aiment regarder des émissions de télévision,-102.35343933105469,-111.24162292480469,-98.71089172363281,-235.7807159423828,-242.10763549804688,-227.3685302734375,-116.34028625488281,-139.8585968017578,-127.72806549072266,-274.2192077636719,-280.6667785644531,-275.416748046875,-283.7569580078125,-277.7247619628906,-282.07366943359375,-161.39820861816406,-153.5071258544922,-129.12335205078125
le client connaît beaucoup de langues étrangères et a vingt trois ans,-84.78199005126953,-95.01351928710938,-83.8328628540039,-158.7342071533203,-141.23406982421875,-142.50234985351562,-109.24520874023438,-126.73450469970703,-109.76210021972656,-188.692138671875,-160.80416870117188,-174.4954376220703,-177.83636474609375,-170.85983276367188,-166.83013916015625,-115.60263061523438,-104.62861633300781,-94.27827453613281
le client connaît beaucoup de langues étrangères et ont vingt trois ans,-86.19368743896484,-95.95559692382812,-87.4927978515625,-158.83360290527344,-143.56207275390625,-142.55667114257812,-107.10365295410156,-127.45806121826172,-113.49980163574219,-187.14524841308594,-162.7158203125,-175.10572814941406,-182.09950256347656,-173.95741271972656,-170.25547790527344,-119.37252044677734,-111.84950256347656,-100.50128936767578
le client connaît beaucoup de langues étrangères et préfère jouer au tennis avec des collègues,-100.25381469726562,-106.0637435913086,-101.581787109375,-236.51455688476562,-224.34597778320312,-220.16549682617188,-130.7409210205078,-149.4503936767578,-135.9204864501953,-279.607177734375,-255.57357788085938,-272.33709716796875,-281.298095703125,-279.8382568359375,-281.52276611328125,-143.99720764160156,-137.33204650878906,-112.25776672363281
le client connaît beaucoup de langues étrangères et préfèrent jouer au tennis avec des collègues,-101.2989273071289,-109.12838745117188,-101.26335906982422,-237.49508666992188,-226.73458862304688,-217.5327911376953,-126.06239318847656,-151.29592895507812,-141.7213592529297,-281.912841796875,-255.299560546875,-267.7511901855469,-278.99737548828125,-276.9649658203125,-277.4916076660156,-152.2347412109375,-150.0467529296875,-116.41226959228516
