sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13,fr_childes_convergence_clm_42,fr_childes_convergence_clm_30,fr_childes_convergence_clm_13,fr_wikipedia_convergence_clm_42,fr_wikipedia_convergence_clm_30,fr_wikipedia_convergence_clm_13,fr_wikipedia_best_mlm_42,fr_wikipedia_best_mlm_30,fr_wikipedia_best_mlm_13,fr_childes_best_mlm_42,fr_childes_best_mlm_30,fr_childes_best_mlm_13
le directeur déménage et parle,-36.624267578125,-42.996910095214844,-45.07860565185547,-61.29882049560547,-61.17436981201172,-63.08522033691406,-55.80644989013672,-54.34054183959961,-62.32180404663086,-67.87017059326172,-80.42249298095703,-77.23651885986328,-76.76729583740234,-84.8162841796875,-84.0806884765625,-45.46630859375,-39.72850799560547,-41.79755401611328
le directeur déménage et parlent,-41.11406707763672,-47.371158599853516,-47.07875061035156,-65.40979766845703,-67.58417510986328,-67.2796630859375,-58.489524841308594,-58.349971771240234,-65.06102752685547,-71.68310546875,-85.25639343261719,-89.43624877929688,-79.81035614013672,-86.37845611572266,-89.49337005615234,-49.624332427978516,-43.17420196533203,-46.587669372558594
le directeur déménage et retourne,-38.68087387084961,-45.61722183227539,-46.27634811401367,-61.539466857910156,-65.03165435791016,-65.63223266601562,-58.57793426513672,-57.64516067504883,-62.1277961730957,-68.52534484863281,-81.91159057617188,-76.69740295410156,-77.28266906738281,-83.91275787353516,-86.34017944335938,-42.1848258972168,-40.33057403564453,-41.47628402709961
le directeur déménage et retournent,-43.85707473754883,-49.883365631103516,-45.93750762939453,-64.4734878540039,-65.38528442382812,-67.44168090820312,-62.802024841308594,-62.83998489379883,-64.2896728515625,-74.079833984375,-82.02572631835938,-80.95161437988281,-77.39680480957031,-80.90882873535156,-83.15680694580078,-48.2138557434082,-41.59178161621094,-44.960533142089844
le directeur déménage et est petit,-43.85026168823242,-50.249473571777344,-45.63691711425781,-67.5274887084961,-70.21361541748047,-68.09766387939453,-59.678680419921875,-62.88747787475586,-58.05290603637695,-72.95281219482422,-86.35317993164062,-81.75605773925781,-83.29523468017578,-89.15460968017578,-89.9496841430664,-54.134742736816406,-48.530120849609375,-47.9494514465332
le directeur déménage et sont petits,-45.571407318115234,-52.504554748535156,-50.62214660644531,-72.41407012939453,-77.37743377685547,-75.36734008789062,-66.1865234375,-66.20061492919922,-66.3101806640625,-78.9268798828125,-96.05166625976562,-92.57643127441406,-82.11146545410156,-89.97190856933594,-94.1517562866211,-52.13318634033203,-47.897804260253906,-45.92565155029297
le directeur déménage et est grand,-43.14152908325195,-49.11205291748047,-46.22947692871094,-67.5434799194336,-69.82536315917969,-68.11457824707031,-62.08998107910156,-61.606258392333984,-62.04330825805664,-74.5796890258789,-86.457763671875,-87.19021606445312,-81.48772430419922,-86.73941802978516,-88.40847778320312,-51.16204071044922,-48.17097854614258,-50.36753463745117
le directeur déménage et sont grands,-44.62620162963867,-51.69129943847656,-49.402488708496094,-70.5711669921875,-74.74089813232422,-75.3402328491211,-66.23991394042969,-63.32211685180664,-67.44902038574219,-77.4998550415039,-93.21865844726562,-93.12882995605469,-81.9538803100586,-86.0720443725586,-91.03910064697266,-53.22759246826172,-47.20513153076172,-48.170326232910156
le directeur déménage et est vieux,-47.4869499206543,-49.85345458984375,-48.492393493652344,-70.92488861083984,-72.70403289794922,-71.08458709716797,-65.32975769042969,-61.75167465209961,-64.2585220336914,-79.0855712890625,-90.71649169921875,-86.84693908691406,-86.42985534667969,-91.744873046875,-92.36427307128906,-55.542449951171875,-49.33644104003906,-50.972957611083984
le directeur déménage et sont vieux,-49.04670333862305,-55.607547760009766,-53.10997009277344,-74.41363525390625,-76.99723815917969,-76.79676055908203,-66.01130676269531,-65.02200317382812,-72.6075439453125,-84.37646484375,-95.97689819335938,-94.00456237792969,-88.59346008300781,-94.27098083496094,-95.10150909423828,-64.41187286376953,-55.87038040161133,-59.74211502075195
le directeur déménage et est jeune,-46.288448333740234,-50.38775634765625,-49.78424072265625,-67.19566345214844,-71.19026947021484,-69.31069946289062,-65.44000244140625,-68.07820129394531,-65.34190368652344,-74.78913116455078,-86.15458679199219,-84.1272201538086,-80.84210968017578,-88.61157989501953,-91.55950927734375,-51.428802490234375,-46.54212188720703,-49.58900833129883
le directeur déménage et sont jeunes,-52.36223602294922,-59.65507507324219,-56.968807220458984,-72.72119140625,-75.58992004394531,-76.17204284667969,-71.25120544433594,-74.1041030883789,-74.38111877441406,-82.08041381835938,-94.29901123046875,-91.51568603515625,-85.84954833984375,-91.27692413330078,-95.6448745727539,-74.50565338134766,-62.4957275390625,-64.35619354248047
l' agriculteur déménage et déménage,-46.300357818603516,-43.19327163696289,-51.24678039550781,-93.0439453125,-114.360107421875,-102.735107421875,-62.021934509277344,-51.81909942626953,-76.74642944335938,-99.86680603027344,-124.55340576171875,-117.3985595703125,-146.12860107421875,-143.5526123046875,-147.02821350097656,-61.20135498046875,-62.58158874511719,-56.90834045410156
l' agriculteur déménage et déménagent,-53.89248275756836,-50.72868728637695,-57.078853607177734,-95.67562866210938,-119.06034088134766,-100.86091613769531,-69.34361267089844,-62.92689514160156,-80.7667236328125,-99.22025299072266,-131.5018768310547,-120.67071533203125,-140.86253356933594,-146.07443237304688,-148.75262451171875,-74.37438201904297,-71.31608581542969,-67.21794128417969
l' agriculteur déménage et parle,-44.16230392456055,-45.499141693115234,-52.11943817138672,-64.95138549804688,-77.3884506225586,-71.68856811523438,-62.599853515625,-56.81523513793945,-75.61038208007812,-74.50236511230469,-93.11620330810547,-82.73345947265625,-95.12873840332031,-100.55587768554688,-101.05601501464844,-68.46026611328125,-62.31877517700195,-61.518043518066406
l' agriculteur déménage et parlent,-47.11994552612305,-47.927650451660156,-54.251468658447266,-70.58235931396484,-82.48963928222656,-75.61270141601562,-61.54119873046875,-60.707130432128906,-78.70684814453125,-78.67731475830078,-92.34345245361328,-94.40286254882812,-99.41818237304688,-99.94557189941406,-105.27769470214844,-70.89804077148438,-66.43252563476562,-64.97408294677734
l' agriculteur déménage et retourne,-45.104705810546875,-46.43733215332031,-51.9079475402832,-65.8391342163086,-81.01373291015625,-72.49896240234375,-66.45857238769531,-59.07756805419922,-73.63330078125,-73.93890380859375,-96.53943634033203,-80.15560913085938,-98.63394165039062,-98.60556030273438,-103.09429931640625,-65.61546325683594,-66.15606689453125,-58.41884994506836
l' agriculteur déménage et retournent,-48.80289077758789,-51.22195053100586,-52.88799285888672,-69.9972915649414,-81.65251922607422,-75.6187744140625,-65.12602233886719,-63.16064453125,-80.55087280273438,-78.79143524169922,-94.54070281982422,-85.29954528808594,-96.85958099365234,-95.34326171875,-97.9747314453125,-70.74479675292969,-70.9576644897461,-64.91769409179688
l' agriculteur déménage et est petit,-49.73929214477539,-54.55421447753906,-52.63842010498047,-70.84681701660156,-84.87895202636719,-77.42406463623047,-63.55525207519531,-66.2434310913086,-77.98429870605469,-78.73326873779297,-97.66374969482422,-88.67985534667969,-102.78656005859375,-104.6572494506836,-102.4460678100586,-71.60742950439453,-71.8702392578125,-66.37445831298828
l' agriculteur déménage et sont petits,-51.6018180847168,-53.64513397216797,-57.53184127807617,-76.3050765991211,-90.90811920166016,-81.7842788696289,-67.87469482421875,-72.5742416381836,-79.79924011230469,-85.67041778564453,-105.0340347290039,-96.11862182617188,-102.83024597167969,-102.26287078857422,-106.66852569580078,-71.9221420288086,-72.2159194946289,-63.54896545410156
l' agriculteur déménage et est grand,-49.39851760864258,-54.72151184082031,-54.58469772338867,-72.21273040771484,-85.64010620117188,-77.42314147949219,-67.56672668457031,-65.22412872314453,-80.93789672851562,-80.16513061523438,-99.05326080322266,-92.78179931640625,-100.96795654296875,-103.11454772949219,-101.74152374267578,-72.47606658935547,-73.08970642089844,-67.73411560058594
l' agriculteur déménage et sont grands,-50.7906379699707,-52.57420349121094,-56.691471099853516,-75.05555725097656,-88.74040222167969,-81.66653442382812,-67.77339935302734,-67.59491729736328,-83.01850891113281,-83.78976440429688,-103.35375213623047,-96.24793243408203,-103.00621032714844,-100.59603118896484,-105.4598388671875,-72.48461151123047,-71.78218078613281,-64.06505584716797
l' agriculteur déménage et est vieux,-52.57930374145508,-55.00122833251953,-57.06570816040039,-75.2000732421875,-87.38914489746094,-81.05602264404297,-72.98548126220703,-65.61170196533203,-81.81556701660156,-86.0660400390625,-101.72327423095703,-93.40005493164062,-106.45113372802734,-107.36337280273438,-107.41166687011719,-77.10441589355469,-73.40567779541016,-68.86807250976562
l' agriculteur déménage et sont vieux,-54.86423873901367,-56.20683288574219,-60.28968048095703,-78.0162124633789,-90.54902648925781,-84.24873352050781,-71.00182342529297,-67.4941635131836,-82.43023681640625,-90.78939819335938,-105.12702178955078,-99.45091247558594,-109.69686889648438,-108.14128112792969,-109.04755401611328,-84.60023498535156,-80.93594360351562,-76.95564270019531
l' agriculteur déménage et est jeune,-52.18180465698242,-54.56270217895508,-58.246177673339844,-70.75257110595703,-85.56068420410156,-78.03858184814453,-73.748291015625,-71.81462097167969,-86.71908569335938,-80.94635772705078,-98.03543853759766,-89.79623413085938,-101.83069610595703,-103.26696014404297,-106.54827880859375,-72.33993530273438,-70.3113784790039,-68.21163940429688
l' agriculteur déménage et sont jeunes,-58.71873474121094,-59.04905700683594,-62.435203552246094,-76.83716583251953,-90.48464965820312,-82.5058364868164,-75.69817352294922,-73.2927474975586,-89.64409637451172,-87.18412017822266,-105.53394317626953,-95.91404724121094,-107.20252990722656,-104.96371459960938,-111.99170684814453,-93.70901489257812,-88.31550598144531,-79.37643432617188
le chirurgien déménage et déménage,-53.37395095825195,-43.980018615722656,-46.457542419433594,-92.18504333496094,-101.45973205566406,-87.87590026855469,-57.08744430541992,-49.43950653076172,-51.83079147338867,-94.17457580566406,-107.11148071289062,-96.86891174316406,-131.5659637451172,-134.79180908203125,-134.58560180664062,-59.659488677978516,-59.70954513549805,-54.579246520996094
le chirurgien déménage et déménagent,-60.99985122680664,-51.19547653198242,-52.55623245239258,-94.48005676269531,-106.92869567871094,-86.87479400634766,-61.33320999145508,-53.21516036987305,-53.25953674316406,-93.16693115234375,-113.35098266601562,-101.98129272460938,-127.24232482910156,-136.52313232421875,-136.4497528076172,-69.430908203125,-66.54002380371094,-64.77940368652344
le chirurgien déménage et parle,-49.800662994384766,-45.15459060668945,-47.60311508178711,-61.59967803955078,-64.73468017578125,-59.82419204711914,-52.607601165771484,-54.242454528808594,-50.893646240234375,-68.22637176513672,-75.3088150024414,-66.47077178955078,-83.37911987304688,-91.98872375488281,-89.62372589111328,-61.84327697753906,-61.41218566894531,-59.372989654541016
le chirurgien déménage et parlent,-53.52774429321289,-47.200843811035156,-49.45840835571289,-69.52186584472656,-70.35206604003906,-63.57096481323242,-53.11250686645508,-52.78298568725586,-53.343841552734375,-73.04920196533203,-77.87462615966797,-76.61656188964844,-85.86544036865234,-92.54313659667969,-94.51111602783203,-66.90635681152344,-65.58097839355469,-61.4143180847168
le chirurgien déménage et retourne,-53.10962677001953,-46.894859313964844,-48.3823127746582,-62.339534759521484,-68.85356903076172,-61.955684661865234,-54.34634780883789,-51.49129104614258,-49.822296142578125,-68.7638168334961,-78.28160858154297,-67.7685317993164,-87.16608428955078,-92.2565689086914,-93.13683319091797,-60.76806640625,-60.828880310058594,-59.810035705566406
le chirurgien déménage et retournent,-57.163211822509766,-49.885990142822266,-48.92220687866211,-69.6824951171875,-70.01947784423828,-64.91500091552734,-59.592193603515625,-56.06695556640625,-55.65772247314453,-74.7761001586914,-77.29369354248047,-70.08258819580078,-84.13328552246094,-87.8509521484375,-88.7056655883789,-64.47108459472656,-63.60456848144531,-64.847412109375
le chirurgien déménage et est petit,-56.6847038269043,-53.144161224365234,-47.50395584106445,-66.61383056640625,-73.47709655761719,-65.4678955078125,-54.497901916503906,-60.48428726196289,-52.03250503540039,-72.90506744384766,-82.54045867919922,-71.06232452392578,-91.79135131835938,-96.34423065185547,-93.59526062011719,-67.43305969238281,-69.95406341552734,-62.37016296386719
le chirurgien déménage et sont petits,-57.862667083740234,-53.319820404052734,-52.9588508605957,-75.04899597167969,-80.79192352294922,-71.4289779663086,-56.125186920166016,-64.5677719116211,-53.217552185058594,-80.0400619506836,-90.47649383544922,-81.18994903564453,-90.75516510009766,-95.12220764160156,-95.6983871459961,-66.93783569335938,-66.78028869628906,-60.22557830810547
le chirurgien déménage et est grand,-56.28155517578125,-53.48562240600586,-48.63563919067383,-68.19951629638672,-73.97650909423828,-65.72076416015625,-54.09303665161133,-59.22539520263672,-53.15365982055664,-75.33621978759766,-83.73717498779297,-76.413330078125,-89.81423950195312,-94.90499114990234,-93.31124877929688,-67.58919525146484,-70.02050018310547,-64.22854614257812
le chirurgien déménage et sont grands,-57.024139404296875,-53.02508544921875,-52.51102066040039,-73.67485046386719,-78.44522094726562,-71.21371459960938,-54.72065353393555,-61.76292037963867,-54.60257339477539,-79.42131805419922,-89.3733901977539,-82.13939666748047,-90.72296905517578,-92.54602813720703,-94.73825073242188,-68.74311828613281,-66.68553161621094,-62.231163024902344
le chirurgien déménage et est vieux,-60.85639190673828,-54.713714599609375,-52.010807037353516,-70.50653076171875,-75.86663818359375,-69.36526489257812,-61.6353645324707,-59.93811798095703,-56.251014709472656,-78.5250015258789,-85.34493255615234,-77.22816467285156,-94.22711944580078,-98.48843383789062,-97.15623474121094,-72.82996368408203,-73.63133239746094,-64.33010864257812
le chirurgien déménage et sont vieux,-61.75244140625,-56.008609771728516,-56.10958480834961,-76.66015625,-80.00817108154297,-73.62245178222656,-57.563819885253906,-61.0755729675293,-57.56694793701172,-84.88880157470703,-90.69122314453125,-84.67792510986328,-97.0504379272461,-100.1745376586914,-99.30087280273438,-81.21375274658203,-79.34024810791016,-72.05375671386719
le chirurgien déménage et est jeune,-60.146541595458984,-55.14384841918945,-53.40262985229492,-66.38304138183594,-74.11529541015625,-65.58898162841797,-62.7591438293457,-65.82894134521484,-56.60454559326172,-73.87421417236328,-82.22734832763672,-73.69595336914062,-92.01863098144531,-96.88774108886719,-98.30933380126953,-67.0806655883789,-70.44025421142578,-64.87547302246094
le chirurgien déménage et sont jeunes,-65.47265625,-58.77927017211914,-59.13324737548828,-75.36265563964844,-80.05624389648438,-72.28477478027344,-65.45217895507812,-66.31529235839844,-62.76741027832031,-82.4140853881836,-91.92961883544922,-81.66825866699219,-95.59203338623047,-98.35835266113281,-100.88497161865234,-89.42985534667969,-84.2139663696289,-75.83502960205078
le sénateur déménage et déménage,-45.75692367553711,-46.607601165771484,-47.218467712402344,-109.9148941040039,-139.79417419433594,-108.37792205810547,-72.31411743164062,-63.54624938964844,-68.84174346923828,-129.34725952148438,-155.56874084472656,-136.11956787109375,-156.89227294921875,-157.6750030517578,-162.36355590820312,-48.823280334472656,-47.1905632019043,-43.183677673339844
le sénateur déménage et déménagent,-52.96596908569336,-52.66987228393555,-51.83992004394531,-111.4942855834961,-144.88809204101562,-109.34735870361328,-73.134033203125,-70.62371826171875,-66.63511657714844,-128.6866455078125,-162.71871948242188,-142.00193786621094,-151.5222625732422,-159.76544189453125,-165.64254760742188,-60.039154052734375,-56.09817123413086,-54.79620361328125
le sénateur déménage et parle,-42.2421875,-48.669166564941406,-47.83966064453125,-79.81401824951172,-99.83198547363281,-81.52104949951172,-67.7863998413086,-68.43700408935547,-68.9299087524414,-103.13832092285156,-119.06822967529297,-105.46530151367188,-111.0040512084961,-114.79400634765625,-114.21935272216797,-54.470157623291016,-52.343658447265625,-49.93895721435547
le sénateur déménage et parlent,-46.00310134887695,-52.031150817871094,-49.2200927734375,-86.5045394897461,-107.05007934570312,-86.56433868408203,-69.38542175292969,-72.80377197265625,-69.02526092529297,-106.30287170410156,-121.38542938232422,-117.98567199707031,-112.33529663085938,-114.87471008300781,-117.1802978515625,-59.390281677246094,-57.027099609375,-55.71355438232422
le sénateur déménage et retourne,-45.13294982910156,-50.60430145263672,-48.33026123046875,-79.87945556640625,-103.56855773925781,-83.04479217529297,-70.62490844726562,-68.0227279663086,-67.44467163085938,-102.85508728027344,-122.43275451660156,-104.06680297851562,-114.36979675292969,-114.10027313232422,-120.33297729492188,-48.679588317871094,-51.68901443481445,-47.30549621582031
le sénateur déménage et retournent,-48.50830078125,-54.05274200439453,-48.67845916748047,-85.3880386352539,-104.7091064453125,-87.07807922363281,-72.87503814697266,-72.05076599121094,-73.37639617919922,-108.62861633300781,-121.15042877197266,-110.14159393310547,-112.11355590820312,-111.76012420654297,-114.56232452392578,-55.802005767822266,-56.69160842895508,-53.1176643371582
le sénateur déménage et est petit,-48.833717346191406,-55.97473907470703,-48.212310791015625,-85.01403045654297,-108.89402770996094,-87.49858093261719,-73.3577880859375,-75.6879653930664,-66.24420166015625,-107.72120666503906,-126.04444122314453,-109.63673400878906,-117.37759399414062,-118.3028793334961,-119.40658569335938,-62.11305236816406,-61.38260269165039,-53.75495910644531
le sénateur déménage et sont petits,-50.075984954833984,-56.599769592285156,-52.37604522705078,-91.19231414794922,-115.45852661132812,-93.92398071289062,-74.27877044677734,-79.74231719970703,-69.92127990722656,-115.44410705566406,-135.56883239746094,-122.60227966308594,-116.37237548828125,-116.7437973022461,-122.39156341552734,-59.035423278808594,-61.227088928222656,-51.0184211730957
le sénateur déménage et est grand,-47.981727600097656,-55.30940246582031,-49.113651275634766,-86.28024291992188,-109.09356689453125,-87.81358337402344,-74.96080780029297,-74.3671646118164,-67.42865753173828,-109.80827331542969,-125.64180755615234,-115.63894653320312,-114.62782287597656,-117.15496063232422,-118.71913146972656,-61.13688659667969,-60.605873107910156,-55.56441879272461
le sénateur déménage et sont grands,-49.51313400268555,-56.09627151489258,-50.859806060791016,-89.74897766113281,-113.07546997070312,-93.51220703125,-73.39966583251953,-76.13676452636719,-71.08500671386719,-113.95133972167969,-133.5455322265625,-122.36182403564453,-116.33078002929688,-115.25650787353516,-120.98387145996094,-59.62308883666992,-60.258827209472656,-54.512420654296875
le sénateur déménage et est vieux,-51.96953201293945,-56.5345458984375,-51.252620697021484,-89.12760925292969,-111.1865234375,-91.01459503173828,-79.47633361816406,-76.2197036743164,-68.85051727294922,-114.77183532714844,-129.30857849121094,-114.93741607666016,-120.66950225830078,-121.13934326171875,-124.3359375,-64.16590881347656,-62.236045837402344,-53.08629608154297
le sénateur déménage et sont vieux,-53.59528350830078,-59.952362060546875,-55.011619567871094,-92.82097625732422,-114.47285461425781,-95.57939910888672,-73.94715881347656,-77.95115661621094,-73.37067413330078,-120.04953002929688,-134.73681640625,-123.76644897460938,-122.76243591308594,-121.9561996459961,-125.22077941894531,-72.83516693115234,-69.89749145507812,-63.46044158935547
le sénateur déménage et est jeune,-51.6173210144043,-56.25070571899414,-52.282386779785156,-84.90925598144531,-108.97877502441406,-87.87741088867188,-77.15834045410156,-77.12954711914062,-72.06175994873047,-110.02537536621094,-124.0743179321289,-112.16559600830078,-116.76136016845703,-118.10319519042969,-123.3639907836914,-60.801841735839844,-61.62599182128906,-55.063072204589844
le sénateur déménage et sont jeunes,-57.70339584350586,-63.41852951049805,-59.05022430419922,-91.91368865966797,-114.37686157226562,-94.50252532958984,-82.9371337890625,-84.2916030883789,-78.29497528076172,-118.125244140625,-134.37567138671875,-121.72216033935547,-120.40040588378906,-120.21858978271484,-128.6878204345703,-80.5502700805664,-77.87141418457031,-68.81956481933594
le professeur déménage et déménage,-44.91291427612305,-38.82944107055664,-43.3087158203125,-82.0389175415039,-102.47415924072266,-84.10919952392578,-52.370582580566406,-41.62925720214844,-59.123741149902344,-81.54743957519531,-113.45785522460938,-107.40597534179688,-122.55329132080078,-120.58439636230469,-128.484130859375,-43.937007904052734,-34.77490234375,-43.20189666748047
le professeur déménage et déménagent,-50.53355407714844,-45.27894592285156,-47.87038803100586,-83.86779022216797,-108.12199401855469,-83.75678253173828,-58.26124954223633,-46.210201263427734,-52.404052734375,-80.41956329345703,-119.90433502197266,-113.72864532470703,-118.55859375,-123.16070556640625,-128.63096618652344,-55.361881256103516,-43.86181640625,-56.40237045288086
le professeur déménage et parle,-40.01994323730469,-41.336395263671875,-44.11915588378906,-54.920772552490234,-63.38266372680664,-57.395606994628906,-46.92528533935547,-42.027706146240234,-50.04281234741211,-57.59817886352539,-78.42454528808594,-75.2669448852539,-71.64421081542969,-76.51617431640625,-79.56531524658203,-48.499725341796875,-38.4496955871582,-45.17534637451172
le professeur déménage et parlent,-44.52923583984375,-44.603424072265625,-45.04098129272461,-59.88628387451172,-69.1697998046875,-61.7938346862793,-50.42795181274414,-45.223506927490234,-54.75497817993164,-61.384376525878906,-82.00469970703125,-86.56733703613281,-73.5232162475586,-77.61705017089844,-85.73551940917969,-52.01910400390625,-41.38127517700195,-49.07461929321289
le professeur déménage et retourne,-43.069725036621094,-42.60704040527344,-44.00802230834961,-55.67709732055664,-67.4763412475586,-59.99302673339844,-50.87933349609375,-42.504608154296875,-51.6041374206543,-58.8399543762207,-80.55193328857422,-74.01758575439453,-71.40170288085938,-75.96846771240234,-81.14962768554688,-45.111000061035156,-38.20812225341797,-44.60160446166992
le professeur déménage et retournent,-47.9279670715332,-45.80241394042969,-44.70721435546875,-60.35902404785156,-68.56764221191406,-63.651180267333984,-55.04060363769531,-52.018104553222656,-57.90453338623047,-63.811134338378906,-81.91059875488281,-79.98680877685547,-71.46809387207031,-73.0607681274414,-79.3467025756836,-52.00662612915039,-43.392120361328125,-53.0859375
